route_id,train_id,sequence_number,station_id,arrival_time,departure_time,day_offset,distance_from_origin_km
RTE008,TR008,5,ST0032,21:14,21:26,0,484
RTE008,TR008,6,ST0030,23:02,23:15,0,590
RTE009,TR009,1,ST0007,07:06,07:16,0,0
RTE009,TR009,2,ST0008,09:08,09:18,0,188
RTE009,TR009,3,ST0003,10:16,10:27,0,254
RTE009,TR009,4,ST0002,11:42,11:54,0,343
RTE009,TR009,5,ST0004,13:26,13:39,0,455
RTE009,TR009,6,ST0005,15:28,15:42,0,590
RTE010,TR010,1,ST0014,10:23,10:33,0,0
RTE010,TR010,2,ST0015,11:27,11:38,0,72
RTE010,TR010,3,ST0020,12:49,13:01,0,167
RTE010,TR010,4,ST0019,14:29,14:42,0,285
RTE010,TR010,5,ST0001,16:27,16:41,0,426
RTE010,TR010,6,ST0009,17:32,17:47,0,590
RTE011,TR011,1,ST0023,13:40,13:50,0,0
RTE011,TR011,2,ST0033,14:57,15:09,0,101
RTE011,TR011,3,ST0032,16:33,16:46,0,225
RTE011,TR011,4,ST0029,18:27,18:41,0,372
RTE011,TR011,5,ST0026,19:28,19:43,0,542
RTE012,TR012,1,ST0022,04:57,05:07,0,0
RTE012,TR012,2,ST0024,06:27,06:40,0,130
RTE012,TR012,3,ST0025,08:17,08:31,0,283
RTE012,TR012,4,ST0042,10:25,10:40,0,459
RTE012,TR012,5,ST0043,11:40,11:48,0,658
RTE012,TR012,6,ST0034,13:05,13:14,0,735
RTE013,TR013,1,ST0034,08:14,08:24,0,0
RTE013,TR013,2,ST0064,09:57,10:11,0,159
RTE013,TR013,3,ST0038,12:01,12:16,0,341
RTE013,TR013,4,ST0040,13:12,13:20,0,401
RTE013,TR013,5,ST0039,14:33,14:42,0,484
RTE014,TR014,1,ST0034,11:31,11:41,0,0
RTE014,TR014,2,ST0036,13:27,13:42,0,188
RTE014,TR014,3,ST0037,14:34,14:42,0,254
RTE014,TR014,4,ST0044,15:51,16:00,0,343
RTE014,TR014,5,ST0045,17:26,17:36,0,455
RTE015,TR015,1,ST0039,14:48,14:58,0,0
RTE015,TR015,2,ST0040,15:46,15:54,0,72
RTE015,TR015,3,ST0017,16:59,17:08,0,167
RTE015,TR015,4,ST0018,18:30,18:40,0,285
RTE015,TR015,5,ST0015,20:19,20:30,0,426
RTE015,TR015,6,ST0014,21:15,21:27,0,590
RTE016,TR016,1,ST0026,06:05,06:15,0,0
RTE016,TR016,2,ST0068,07:16,07:25,0,101
RTE016,TR016,3,ST0029,08:43,08:53,0,225
RTE016,TR016,4,ST0032,10:28,10:39,0,372
RTE016,TR016,5,ST0030,12:31,12:43,0,542
RTE016,TR016,6,ST0031,13:41,13:54,0,735
RTE017,TR017,1,ST0027,09:22,09:32,0,0
RTE017,TR017,2,ST0028,10:46,10:56,0,130
RTE017,TR017,3,ST0029,12:27,12:38,0,283
RTE017,TR017,4,ST0032,14:26,14:38,0,459
RTE017,TR017,5,ST0030,15:32,15:45,0,658
RTE018,TR018,1,ST0027,12:39,12:49,0,0
RTE018,TR018,2,ST0025,14:16,14:27,0,159
RTE018,TR018,3,ST0022,16:11,16:23,0,341
RTE018,TR018,4,ST0024,17:13,17:26,0,401
RTE018,TR018,5,ST0017,18:33,18:47,0,484
RTE019,TR019,1,ST0050,14:56,15:06,0,0
RTE019,TR019,2,ST0052,16:46,16:58,0,188
RTE019,TR019,3,ST0053,17:44,17:57,0,254
RTE019,TR019,4,ST0069,19:00,19:14,0,343
RTE019,TR019,5,ST0054,20:34,20:49,0,455
RTE020,TR020,1,ST0050,07:13,07:23,0,0
RTE020,TR020,2,ST0058,09:16,09:29,0,72
RTE020,TR020,3,ST0057,10:28,10:42,0,167
RTE020,TR020,4,ST0061,11:58,12:13,0,285
RTE020,TR020,5,ST0060,13:46,13:54,0,426
RTE021,TR021,1,ST0050,10:30,10:40,0,0
RTE021,TR021,2,ST0051,11:35,11:49,0,101
RTE021,TR021,3,ST0052,13:01,13:16,0,225
RTE021,TR021,4,ST0055,14:45,14:53,0,372
RTE021,TR021,5,ST0056,16:39,16:48,0,542
RTE022,TR022,1,ST0058,13:47,13:57,0,0
RTE022,TR022,2,ST0062,15:05,15:20,0,130
RTE022,TR022,3,ST0067,16:45,16:53,0,283
RTE022,TR022,4,ST0066,18:35,18:44,0,459
RTE022,TR022,5,ST0059,19:32,19:42,0,658
RTE022,TR022,6,ST0061,20:47,20:58,0,735
RTE023,TR023,1,ST0048,05:04,05:14,0,0
RTE023,TR023,2,ST0047,06:35,06:43,0,159
RTE023,TR023,3,ST0045,08:21,08:30,0,341
RTE023,TR023,4,ST0044,10:25,10:35,0,401
RTE024,TR024,1,ST0049,08:21,08:31,0,0
RTE024,TR024,2,ST0047,10:05,10:14,0,188
RTE024,TR024,3,ST0046,12:05,12:15,0,254
RTE024,TR024,4,ST0070,13:12,13:23,0,343
RTE024,TR024,5,ST0044,14:37,14:49,0,455
RTE025,TR025,1,ST0058,11:38,11:48,0,0
RTE025,TR025,2,ST0066,13:35,13:45,0,72
RTE025,TR025,3,ST0047,14:38,14:49,0,167
RTE025,TR025,4,ST0048,15:59,16:11,0,285
RTE025,TR025,5,ST0049,17:38,17:51,0,426
RTE026,TR026,1,ST0002,13:55,14:05,0,0
RTE026,TR026,2,ST0003,14:54,15:05,0,101
RTE026,TR026,3,ST0008,16:11,16:23,0,225
RTE026,TR026,4,ST0019,17:46,17:59,0,372
RTE026,TR026,5,ST0001,19:39,19:53,0,542
RTE026,TR026,6,ST0020,20:39,20:54,0,735
RTE027,TR027,1,ST0005,06:12,06:22,0,0
RTE027,TR027,2,ST0004,07:24,07:36,0,130
RTE027,TR027,3,ST0003,08:55,09:08,0,283
RTE027,TR027,4,ST0002,10:44,10:58,0,459
RTE027,TR027,5,ST0007,12:51,13:06,0,658
RTE028,TR028,1,ST0034,09:29,09:39,0,0
RTE028,TR028,2,ST0063,10:54,11:07,0,159
RTE028,TR028,3,ST0038,12:39,12:53,0,341
RTE028,TR028,4,ST0043,14:42,14:57,0,401
RTE028,TR028,5,ST0042,15:52,16:00,0,484
RTE029,TR029,1,ST0038,12:46,12:56,0,0
RTE029,TR029,2,ST0039,14:24,14:38,0,188
RTE029,TR029,3,ST0041,16:23,16:38,0,254
RTE029,TR029,4,ST0040,17:29,17:37,0,343
RTE029,TR029,5,ST0017,18:45,18:54,0,455
RTE029,TR029,6,ST0018,20:19,20:29,0,590
RTE030,TR030,1,ST0022,15:03,15:13,0,0
RTE030,TR030,2,ST0023,16:54,17:09,0,72
RTE030,TR030,3,ST0033,17:56,18:04,0,167
RTE030,TR030,4,ST0010,19:08,19:17,0,285
RTE030,TR030,5,ST0009,20:38,20:48,0,426
RTE030,TR030,6,ST0001,22:26,22:37,0,590
