coach_id,journey_id,coach_number,coach_type,class_code,seat_capacity
CO000188,J000020,S3,SLEEPER,SL,72
CO000189,J000020,S4,SLEEPER,SL,72
CO000190,J000020,S5,SLEEPER,SL,72
CO000191,J000021,B1,AC_THREE_TIER,3A,64
CO000192,J000021,B2,AC_THREE_TIER,3A,64
CO000193,J000021,B3,AC_THREE_TIER,3A,64
CO000194,J000021,B4,AC_THREE_TIER,3A,64
CO000195,J000021,A1,AC_TWO_TIER,2A,48
CO000196,J000021,A2,AC_TWO_TIER,2A,48
CO000197,J000021,S1,SLEEPER,SL,72
CO000198,J000021,S2,SLEEPER,SL,72
CO000199,J000021,S3,SLEEPER,SL,72
CO000200,J000021,S4,SLEEPER,SL,72
CO000201,J000021,S5,SLEEPER,SL,72
CO000202,J000022,B1,AC_THREE_TIER,3A,64
CO000203,J000022,B2,AC_THREE_TIER,3A,64
CO000204,J000022,B3,AC_THREE_TIER,3A,64
CO000205,J000022,B4,AC_THREE_TIER,3A,64
CO000206,J000022,A1,AC_TWO_TIER,2A,48
CO000207,J000022,A2,AC_TWO_TIER,2A,48
CO000208,J000022,S1,SLEEPER,SL,72
CO000209,J000022,S2,SLEEPER,SL,72
CO000210,J000022,S3,SLEEPER,SL,72
CO000211,J000022,S4,SLEEPER,SL,72
CO000212,J000022,S5,SLEEPER,SL,72
CO000213,J000023,B1,AC_THREE_TIER,3A,64
CO000214,J000023,B2,AC_THREE_TIER,3A,64
CO000215,J000023,B3,AC_THREE_TIER,3A,64
CO000216,J000023,B4,AC_THREE_TIER,3A,64
CO000217,J000023,A1,AC_TWO_TIER,2A,48
CO000218,J000023,A2,AC_TWO_TIER,2A,48
CO000219,J000023,S1,SLEEPER,SL,72
CO000220,J000023,S2,SLEEPER,SL,72
CO000221,J000023,S3,SLEEPER,SL,72
CO000222,J000023,S4,SLEEPER,SL,72
CO000223,J000023,S5,SLEEPER,SL,72
CO000224,J000024,B1,AC_THREE_TIER,3A,64
CO000225,J000024,B2,AC_THREE_TIER,3A,64
CO000226,J000024,B3,AC_THREE_TIER,3A,64
CO000227,J000024,B4,AC_THREE_TIER,3A,64
CO000228,J000024,A1,AC_TWO_TIER,2A,48
CO000229,J000024,A2,AC_TWO_TIER,2A,48
CO000230,J000024,S1,SLEEPER,SL,72
CO000231,J000024,S2,SLEEPER,SL,72
CO000232,J000024,S3,SLEEPER,SL,72
CO000233,J000024,S4,SLEEPER,SL,72
CO000234,J000024,S5,SLEEPER,SL,72
CO000235,J000025,S1,SLEEPER,SL,72
CO000236,J000025,S2,SLEEPER,SL,72
CO000237,J000025,S3,SLEEPER,SL,72
CO000238,J000025,S4,SLEEPER,SL,72
CO000239,J000025,S5,SLEEPER,SL,72
CO000240,J000025,S6,SLEEPER,SL,72
CO000241,J000025,S7,SLEEPER,SL,72
CO000242,J000025,S8,SLEEPER,SL,72
CO000243,J000025,B1,AC_THREE_TIER,3A,64
CO000244,J000025,B2,AC_THREE_TIER,3A,64
CO000245,J000025,B3,AC_THREE_TIER,3A,64
CO000246,J000025,B4,AC_THREE_TIER,3A,64
CO000247,J000025,A1,AC_TWO_TIER,2A,48
CO000248,J000026,S1,SLEEPER,SL,72
CO000249,J000026,S2,SLEEPER,SL,72
CO000250,J000026,S3,SLEEPER,SL,72
CO000251,J000026,S4,SLEEPER,SL,72
CO000252,J000026,S5,SLEEPER,SL,72
CO000253,J000026,S6,SLEEPER,SL,72
CO000254,J000026,S7,SLEEPER,SL,72
CO000255,J000026,S8,SLEEPER,SL,72
CO000256,J000026,B1,AC_THREE_TIER,3A,64
CO000257,J000026,B2,AC_THREE_TIER,3A,64
CO000258,J000026,B3,AC_THREE_TIER,3A,64
CO000259,J000026,B4,AC_THREE_TIER,3A,64
CO000260,J000026,A1,AC_TWO_TIER,2A,48
CO000261,J000027,S1,SLEEPER,SL,72
CO000262,J000027,S2,SLEEPER,SL,72
CO000263,J000027,S3,SLEEPER,SL,72
CO000264,J000027,S4,SLEEPER,SL,72
CO000265,J000027,S5,SLEEPER,SL,72
CO000266,J000027,S6,SLEEPER,SL,72
CO000267,J000027,S7,SLEEPER,SL,72
CO000268,J000027,S8,SLEEPER,SL,72
CO000269,J000027,B1,AC_THREE_TIER,3A,64
CO000270,J000027,B2,AC_THREE_TIER,3A,64
CO000271,J000027,B3,AC_THREE_TIER,3A,64
CO000272,J000027,B4,AC_THREE_TIER,3A,64
CO000273,J000027,A1,AC_TWO_TIER,2A,48
CO000274,J000028,S1,SLEEPER,SL,72
CO000275,J000028,S2,SLEEPER,SL,72
CO000276,J000028,S3,SLEEPER,SL,72
CO000277,J000028,S4,SLEEPER,SL,72
CO000278,J000028,S5,SLEEPER,SL,72
CO000279,J000028,S6,SLEEPER,SL,72
CO000280,J000028,S7,SLEEPER,SL,72
CO000281,J000028,S8,SLEEPER,SL,72
CO000282,J000028,B1,AC_THREE_TIER,3A,64
CO000283,J000028,B2,AC_THREE_TIER,3A,64
CO000284,J000028,B3,AC_THREE_TIER,3A,64
CO000285,J000028,B4,AC_THREE_TIER,3A,64
CO000286,J000028,A1,AC_TWO_TIER,2A,48
CO000287,J000029,S1,SLEEPER,SL,72
CO000288,J000029,S2,SLEEPER,SL,72
CO000289,J000029,S3,SLEEPER,SL,72
CO000290,J000029,S4,SLEEPER,SL,72
CO000291,J000029,S5,SLEEPER,SL,72
CO000292,J000029,S6,SLEEPER,SL,72
CO000293,J000029,S7,SLEEPER,SL,72
CO000294,J000029,S8,SLEEPER,SL,72
CO000295,J000029,B1,AC_THREE_TIER,3A,64
CO000296,J000029,B2,AC_THREE_TIER,3A,64
CO000297,J000029,B3,AC_THREE_TIER,3A,64
CO000298,J000029,B4,AC_THREE_TIER,3A,64
CO000299,J000029,A1,AC_TWO_TIER,2A,48
CO000300,J000030,S1,SLEEPER,SL,72
CO000301,J000030,S2,SLEEPER,SL,72
CO000302,J000030,S3,SLEEPER,SL,72
CO000303,J000030,S4,SLEEPER,SL,72
CO000304,J000030,S5,SLEEPER,SL,72
CO000305,J000030,S6,SLEEPER,SL,72
CO000306,J000030,S7,SLEEPER,SL,72
CO000307,J000030,S8,SLEEPER,SL,72
CO000308,J000030,B1,AC_THREE_TIER,3A,64
CO000309,J000030,B2,AC_THREE_TIER,3A,64
CO000310,J000030,B3,AC_THREE_TIER,3A,64
CO000311,J000030,B4,AC_THREE_TIER,3A,64
CO000312,J000030,A1,AC_TWO_TIER,2A,48
CO000313,J000031,B1,AC_THREE_TIER,3A,64
CO000314,J000031,B2,AC_THREE_TIER,3A,64
CO000315,J000031,B3,AC_THREE_TIER,3A,64
CO000316,J000031,B4,AC_THREE_TIER,3A,64
CO000317,J000031,B5,AC_THREE_TIER,3A,64
CO000318,J000031,A1,AC_TWO_TIER,2A,48
CO000319,J000031,A2,AC_TWO_TIER,2A,48
CO000320,J000031,A3,AC_TWO_TIER,2A,48
CO000321,J000032,B1,AC_THREE_TIER,3A,64
CO000322,J000032,B2,AC_THREE_TIER,3A,64
CO000323,J000032,B3,AC_THREE_TIER,3A,64
CO000324,J000032,B4,AC_THREE_TIER,3A,64
CO000325,J000032,B5,AC_THREE_TIER,3A,64
CO000326,J000032,A1,AC_TWO_TIER,2A,48
CO000327,J000032,A2,AC_TWO_TIER,2A,48
CO000328,J000032,A3,AC_TWO_TIER,2A,48
CO000329,J000033,B1,AC_THREE_TIER,3A,64
CO000330,J000033,B2,AC_THREE_TIER,3A,64
CO000331,J000033,B3,AC_THREE_TIER,3A,64
CO000332,J000033,B4,AC_THREE_TIER,3A,64
CO000333,J000033,B5,AC_THREE_TIER,3A,64
CO000334,J000033,A1,AC_TWO_TIER,2A,48
CO000335,J000033,A2,AC_TWO_TIER,2A,48
CO000336,J000033,A3,AC_TWO_TIER,2A,48
CO000337,J000034,B1,AC_THREE_TIER,3A,64
CO000338,J000034,B2,AC_THREE_TIER,3A,64
CO000339,J000034,B3,AC_THREE_TIER,3A,64
CO000340,J000034,B4,AC_THREE_TIER,3A,64
CO000341,J000034,B5,AC_THREE_TIER,3A,64
CO000342,J000034,A1,AC_TWO_TIER,2A,48
CO000343,J000034,A2,AC_TWO_TIER,2A,48
CO000344,J000034,A3,AC_TWO_TIER,2A,48
CO000345,J000035,B1,AC_THREE_TIER,3A,64
CO000346,J000035,B2,AC_THREE_TIER,3A,64
CO000347,J000035,B3,AC_THREE_TIER,3A,64
CO000348,J000035,B4,AC_THREE_TIER,3A,64
CO000349,J000035,B5,AC_THREE_TIER,3A,64
CO000350,J000035,A1,AC_TWO_TIER,2A,48
CO000351,J000035,A2,AC_TWO_TIER,2A,48
CO000352,J000035,A3,AC_TWO_TIER,2A,48
CO000353,J000036,B1,AC_THREE_TIER,3A,64
CO000354,J000036,B2,AC_THREE_TIER,3A,64
CO000355,J000036,B3,AC_THREE_TIER,3A,64
CO000356,J000036,B4,AC_THREE_TIER,3A,64
CO000357,J000036,B5,AC_THREE_TIER,3A,64
CO000358,J000036,A1,AC_TWO_TIER,2A,48
CO000359,J000036,A2,AC_TWO_TIER,2A,48
CO000360,J000036,A3,AC_TWO_TIER,2A,48
CO000361,J000037,B1,AC_THREE_TIER,3A,64
CO000362,J000037,B2,AC_THREE_TIER,3A,64
CO000363,J000037,B3,AC_THREE_TIER,3A,64
CO000364,J000037,B4,AC_THREE_TIER,3A,64
CO000365,J000037,A1,AC_TWO_TIER,2A,48
CO000366,J000037,A2,AC_TWO_TIER,2A,48
CO000367,J000037,S1,SLEEPER,SL,72
CO000368,J000037,S2,SLEEPER,SL,72
CO000369,J000037,S3,SLEEPER,SL,72
CO000370,J000037,S4,SLEEPER,SL,72
CO000371,J000037,S5,SLEEPER,SL,72
CO000372,J000038,B1,AC_THREE_TIER,3A,64
CO000373,J000038,B2,AC_THREE_TIER,3A,64
CO000374,J000038,B3,AC_THREE_TIER,3A,64
CO000375,J000038,B4,AC_THREE_TIER,3A,64
CO000376,J000038,A1,AC_TWO_TIER,2A,48
CO000377,J000038,A2,AC_TWO_TIER,2A,48
CO000378,J000038,S1,SLEEPER,SL,72
CO000379,J000038,S2,SLEEPER,SL,72
CO000380,J000038,S3,SLEEPER,SL,72
CO000381,J000038,S4,SLEEPER,SL,72
CO000382,J000038,S5,SLEEPER,SL,72
CO000383,J000039,B1,AC_THREE_TIER,3A,64
CO000384,J000039,B2,AC_THREE_TIER,3A,64
CO000385,J000039,B3,AC_THREE_TIER,3A,64
CO000386,J000039,B4,AC_THREE_TIER,3A,64
CO000387,J000039,A1,AC_TWO_TIER,2A,48
CO000388,J000039,A2,AC_TWO_TIER,2A,48
CO000389,J000039,S1,SLEEPER,SL,72
CO000390,J000039,S2,SLEEPER,SL,72
CO000391,J000039,S3,SLEEPER,SL,72
CO000392,J000039,S4,SLEEPER,SL,72
CO000393,J000039,S5,SLEEPER,SL,72
CO000394,J000040,B1,AC_THREE_TIER,3A,64
CO000395,J000040,B2,AC_THREE_TIER,3A,64
CO000396,J000040,B3,AC_THREE_TIER,3A,64
CO000397,J000040,B4,AC_THREE_TIER,3A,64
CO000398,J000040,A1,AC_TWO_TIER,2A,48
CO000399,J000040,A2,AC_TWO_TIER,2A,48
CO000400,J000040,S1,SLEEPER,SL,72
CO000401,J000040,S2,SLEEPER,SL,72
CO000402,J000040,S3,SLEEPER,SL,72
CO000403,J000040,S4,SLEEPER,SL,72
CO000404,J000040,S5,SLEEPER,SL,72
CO000405,J000041,B1,AC_THREE_TIER,3A,64
CO000406,J000041,B2,AC_THREE_TIER,3A,64
CO000407,J000041,B3,AC_THREE_TIER,3A,64
CO000408,J000041,B4,AC_THREE_TIER,3A,64
CO000409,J000041,A1,AC_TWO_TIER,2A,48
CO000410,J000041,A2,AC_TWO_TIER,2A,48
CO000411,J000041,S1,SLEEPER,SL,72
CO000412,J000041,S2,SLEEPER,SL,72
CO000413,J000041,S3,SLEEPER,SL,72
CO000414,J000041,S4,SLEEPER,SL,72
CO000415,J000041,S5,SLEEPER,SL,72
CO000416,J000042,B1,AC_THREE_TIER,3A,64
CO000417,J000042,B2,AC_THREE_TIER,3A,64
CO000418,J000042,B3,AC_THREE_TIER,3A,64
CO000419,J000042,B4,AC_THREE_TIER,3A,64
CO000420,J000042,A1,AC_TWO_TIER,2A,48
CO000421,J000042,A2,AC_TWO_TIER,2A,48
CO000422,J000042,S1,SLEEPER,SL,72
CO000423,J000042,S2,SLEEPER,SL,72
CO000424,J000042,S3,SLEEPER,SL,72
CO000425,J000042,S4,SLEEPER,SL,72
CO000426,J000042,S5,SLEEPER,SL,72
CO000427,J000043,S1,SLEEPER,SL,72
CO000428,J000043,S2,SLEEPER,SL,72
CO000429,J000043,S3,SLEEPER,SL,72
CO000430,J000043,S4,SLEEPER,SL,72
CO000431,J000043,S5,SLEEPER,SL,72
CO000432,J000043,S6,SLEEPER,SL,72
CO000433,J000043,S7,SLEEPER,SL,72
CO000434,J000043,S8,SLEEPER,SL,72
CO000435,J000043,B1,AC_THREE_TIER,3A,64
CO000436,J000043,B2,AC_THREE_TIER,3A,64
CO000437,J000043,B3,AC_THREE_TIER,3A,64
CO000438,J000043,B4,AC_THREE_TIER,3A,64
CO000439,J000043,A1,AC_TWO_TIER,2A,48
CO000440,J000044,S1,SLEEPER,SL,72
CO000441,J000044,S2,SLEEPER,SL,72
CO000442,J000044,S3,SLEEPER,SL,72
CO000443,J000044,S4,SLEEPER,SL,72
CO000444,J000044,S5,SLEEPER,SL,72
CO000445,J000044,S6,SLEEPER,SL,72
CO000446,J000044,S7,SLEEPER,SL,72
CO000447,J000044,S8,SLEEPER,SL,72
CO000448,J000044,B1,AC_THREE_TIER,3A,64
CO000449,J000044,B2,AC_THREE_TIER,3A,64
CO000450,J000044,B3,AC_THREE_TIER,3A,64
CO000451,J000044,B4,AC_THREE_TIER,3A,64
CO000452,J000044,A1,AC_TWO_TIER,2A,48
CO000453,J000045,S1,SLEEPER,SL,72
CO000454,J000045,S2,SLEEPER,SL,72
CO000455,J000045,S3,SLEEPER,SL,72
CO000456,J000045,S4,SLEEPER,SL,72
CO000457,J000045,S5,SLEEPER,SL,72
CO000458,J000045,S6,SLEEPER,SL,72
CO000459,J000045,S7,SLEEPER,SL,72
CO000460,J000045,S8,SLEEPER,SL,72
CO000461,J000045,B1,AC_THREE_TIER,3A,64
CO000462,J000045,B2,AC_THREE_TIER,3A,64
CO000463,J000045,B3,AC_THREE_TIER,3A,64
CO000464,J000045,B4,AC_THREE_TIER,3A,64
CO000465,J000045,A1,AC_TWO_TIER,2A,48
CO000466,J000046,S1,SLEEPER,SL,72
CO000467,J000046,S2,SLEEPER,SL,72
CO000468,J000046,S3,SLEEPER,SL,72
CO000469,J000046,S4,SLEEPER,SL,72
CO000470,J000046,S5,SLEEPER,SL,72
CO000471,J000046,S6,SLEEPER,SL,72
CO000472,J000046,S7,SLEEPER,SL,72
CO000473,J000046,S8,SLEEPER,SL,72
CO000474,J000046,B1,AC_THREE_TIER,3A,64
CO000475,J000046,B2,AC_THREE_TIER,3A,64
CO000476,J000046,B3,AC_THREE_TIER,3A,64
CO000477,J000046,B4,AC_THREE_TIER,3A,64
CO000478,J000046,A1,AC_TWO_TIER,2A,48
CO000479,J000047,S1,SLEEPER,SL,72
CO000480,J000047,S2,SLEEPER,SL,72
CO000481,J000047,S3,SLEEPER,SL,72
CO000482,J000047,S4,SLEEPER,SL,72
CO000483,J000047,S5,SLEEPER,SL,72
CO000484,J000047,S6,SLEEPER,SL,72
CO000485,J000047,S7,SLEEPER,SL,72
CO000486,J000047,S8,SLEEPER,SL,72
CO000487,J000047,B1,AC_THREE_TIER,3A,64
CO000488,J000047,B2,AC_THREE_TIER,3A,64
CO000489,J000047,B3,AC_THREE_TIER,3A,64
CO000490,J000047,B4,AC_THREE_TIER,3A,64
CO000491,J000047,A1,AC_TWO_TIER,2A,48
CO000492,J000048,S1,SLEEPER,SL,72
CO000493,J000048,S2,SLEEPER,SL,72
CO000494,J000048,S3,SLEEPER,SL,72
CO000495,J000048,S4,SLEEPER,SL,72
CO000496,J000048,S5,SLEEPER,SL,72
CO000497,J000048,S6,SLEEPER,SL,72
CO000498,J000048,S7,SLEEPER,SL,72
CO000499,J000048,S8,SLEEPER,SL,72
CO000500,J000048,B1,AC_THREE_TIER,3A,64
CO000501,J000048,B2,AC_THREE_TIER,3A,64
CO000502,J000048,B3,AC_THREE_TIER,3A,64
CO000503,J000048,B4,AC_THREE_TIER,3A,64
CO000504,J000048,A1,AC_TWO_TIER,2A,48
CO000505,J000049,C1,CHAIR_CAR,CC,78
CO000506,J000049,C2,CHAIR_CAR,CC,78
CO000507,J000049,C3,CHAIR_CAR,CC,78
CO000508,J000049,C4,CHAIR_CAR,CC,78
CO000509,J000049,C5,CHAIR_CAR,CC,78
CO000510,J000049,C6,CHAIR_CAR,CC,78
CO000511,J000049,E1,EXECUTIVE_CHAIR_CAR,EC,56
CO000512,J000049,E2,EXECUTIVE_CHAIR_CAR,EC,56
CO000513,J000050,C1,CHAIR_CAR,CC,78
CO000514,J000050,C2,CHAIR_CAR,CC,78
CO000515,J000050,C3,CHAIR_CAR,CC,78
CO000516,J000050,C4,CHAIR_CAR,CC,78
CO000517,J000050,C5,CHAIR_CAR,CC,78
CO000518,J000050,C6,CHAIR_CAR,CC,78
CO000519,J000050,E1,EXECUTIVE_CHAIR_CAR,EC,56
