group_id,booking_id,journey_id,group_name,group_size,group_type,travelling_together,priority_level
GR000064,BK000064,J000001,Family Demo Group 00064,4,FAMILY,True,NORMAL
GR000065,BK000065,J000001,Group Demo Group 00065,2,GROUP,True,NORMAL
GR000066,BK000066,J000001,Couple Demo Group 00066,4,COUPLE,True,NORMAL
GR000067,BK000067,J000001,Family Demo Group 00067,5,FAMILY,True,NORMAL
GR000068,BK000068,J000002,Group Demo Group 00068,1,GROUP,True,NORMAL
GR000069,BK000069,J000002,Group Demo Group 00069,2,GROUP,True,NORMAL
GR000070,BK000070,J000002,Couple Demo Group 00070,4,COUPLE,True,NORMAL
GR000071,BK000071,J000002,Group Demo Group 00071,1,GROUP,True,NORMAL
GR000072,BK000072,J000002,Group Demo Group 00072,1,GROUP,True,NORMAL
GR000073,BK000073,J000002,Group Demo Group 00073,2,GROUP,True,NORMAL
GR000074,BK000074,J000002,Family Demo Group 00074,2,FAMILY,True,NORMAL
GR000075,BK000075,J000002,Group Demo Group 00075,1,GROUP,True,NORMAL
GR000076,BK000076,J000002,Couple Demo Group 00076,2,COUPLE,True,NORMAL
GR000077,BK000077,J000002,Family Demo Group 00077,3,FAMILY,True,NORMAL
GR000078,BK000078,J000002,Family Demo Group 00078,2,FAMILY,True,NORMAL
GR000079,BK000079,J000002,Family Demo Group 00079,5,FAMILY,True,NORMAL
GR000080,BK000080,J000002,Couple Demo Group 00080,2,COUPLE,True,NORMAL
GR000081,BK000081,J000002,Group Demo Group 00081,2,GROUP,True,NORMAL
GR000082,BK000082,J000002,Group Demo Group 00082,1,GROUP,True,NORMAL
GR000083,BK000083,J000002,Group Demo Group 00083,1,GROUP,True,NORMAL
GR000084,BK000084,J000002,Couple Demo Group 00084,6,COUPLE,True,HIGH
GR000085,BK000085,J000002,Group Demo Group 00085,1,GROUP,True,NORMAL
GR000086,BK000086,J000002,Family Demo Group 00086,2,FAMILY,True,NORMAL
GR000087,BK000087,J000002,Group Demo Group 00087,4,GROUP,True,NORMAL
GR000088,BK000088,J000002,Couple Demo Group 00088,6,COUPLE,True,HIGH
GR000089,BK000089,J000002,Group Demo Group 00089,2,GROUP,True,NORMAL
GR000090,BK000090,J000002,Friends Demo Group 00090,3,FRIENDS,True,NORMAL
GR000091,BK000091,J000002,Group Demo Group 00091,1,GROUP,True,NORMAL
GR000092,BK000092,J000002,Couple Demo Group 00092,2,COUPLE,True,NORMAL
GR000093,BK000093,J000002,Group Demo Group 00093,2,GROUP,True,NORMAL
GR000094,BK000094,J000002,Family Demo Group 00094,2,FAMILY,True,NORMAL
GR000095,BK000095,J000002,Caregiver Demo Group 00095,4,CAREGIVER,True,HIGH
GR000096,BK000096,J000002,Group Demo Group 00096,1,GROUP,True,NORMAL
GR000097,BK000097,J000002,Family Demo Group 00097,3,FAMILY,True,NORMAL
GR000098,BK000098,J000002,Couple Demo Group 00098,4,COUPLE,True,NORMAL
GR000099,BK000099,J000002,Group Demo Group 00099,4,GROUP,True,NORMAL
GR000100,BK000100,J000002,Friends Demo Group 00100,5,FRIENDS,True,NORMAL
GR000101,BK000101,J000002,Family Demo Group 00101,3,FAMILY,True,NORMAL
GR000102,BK000102,J000002,Group Demo Group 00102,5,GROUP,True,NORMAL
GR000103,BK000103,J000002,Friends Demo Group 00103,2,FRIENDS,True,NORMAL
GR000104,BK000104,J000002,Group Demo Group 00104,1,GROUP,True,NORMAL
GR000105,BK000105,J000002,Group Demo Group 00105,1,GROUP,True,NORMAL
GR000106,BK000106,J000002,Couple Demo Group 00106,4,COUPLE,True,NORMAL
GR000107,BK000107,J000002,Friends Demo Group 00107,2,FRIENDS,True,NORMAL
GR000108,BK000108,J000002,Family Demo Group 00108,4,FAMILY,True,NORMAL
GR000109,BK000109,J000002,Friends Demo Group 00109,4,FRIENDS,True,NORMAL
GR000110,BK000110,J000002,Couple Demo Group 00110,4,COUPLE,True,NORMAL
GR000111,BK000111,J000002,Friends Demo Group 00111,2,FRIENDS,True,NORMAL
GR000112,BK000112,J000002,Couple Demo Group 00112,2,COUPLE,True,NORMAL
GR000113,BK000113,J000002,Friends Demo Group 00113,4,FRIENDS,True,NORMAL
GR000114,BK000114,J000002,Group Demo Group 00114,1,GROUP,True,NORMAL
GR000115,BK000115,J000002,Group Demo Group 00115,1,GROUP,True,NORMAL
GR000116,BK000116,J000002,Family Demo Group 00116,4,FAMILY,True,NORMAL
GR000117,BK000117,J000002,Group Demo Group 00117,1,GROUP,True,NORMAL
GR000118,BK000118,J000002,Family Demo Group 00118,2,FAMILY,True,NORMAL
GR000119,BK000119,J000002,Friends Demo Group 00119,6,FRIENDS,True,HIGH
GR000120,BK000120,J000002,Group Demo Group 00120,3,GROUP,True,NORMAL
GR000121,BK000121,J000002,Family Demo Group 00121,3,FAMILY,True,NORMAL
GR000122,BK000122,J000002,Family Demo Group 00122,2,FAMILY,True,NORMAL
GR000123,BK000123,J000002,Friends Demo Group 00123,6,FRIENDS,True,HIGH
GR000124,BK000124,J000002,Group Demo Group 00124,3,GROUP,True,NORMAL
GR000125,BK000125,J000002,Friends Demo Group 00125,4,FRIENDS,True,NORMAL
GR000126,BK000126,J000002,Couple Demo Group 00126,4,COUPLE,True,NORMAL
GR000127,BK000127,J000002,Friends Demo Group 00127,2,FRIENDS,True,NORMAL
GR000128,BK000128,J000002,Couple Demo Group 00128,2,COUPLE,True,NORMAL
GR000129,BK000129,J000002,Group Demo Group 00129,6,GROUP,True,HIGH
GR000130,BK000130,J000002,Friends Demo Group 00130,3,FRIENDS,True,NORMAL
GR000131,BK000131,J000002,Friends Demo Group 00131,2,FRIENDS,True,NORMAL
GR000132,BK000132,J000002,Group Demo Group 00132,1,GROUP,True,NORMAL
GR000133,BK000133,J000002,Caregiver Demo Group 00133,8,CAREGIVER,True,HIGH
GR000134,BK000134,J000002,Couple Demo Group 00134,4,COUPLE,True,NORMAL
GR000135,BK000135,J000003,Group Demo Group 00135,4,GROUP,True,NORMAL
GR000136,BK000136,J000003,Couple Demo Group 00136,2,COUPLE,True,NORMAL
GR000137,BK000137,J000003,Group Demo Group 00137,2,GROUP,True,NORMAL
GR000138,BK000138,J000003,Family Demo Group 00138,2,FAMILY,True,NORMAL
GR000139,BK000139,J000003,Group Demo Group 00139,1,GROUP,True,NORMAL
GR000140,BK000140,J000003,Family Demo Group 00140,4,FAMILY,True,NORMAL
GR000141,BK000141,J000003,Group Demo Group 00141,1,GROUP,True,NORMAL
GR000142,BK000142,J000003,Family Demo Group 00142,2,FAMILY,True,NORMAL
GR000143,BK000143,J000003,Friends Demo Group 00143,2,FRIENDS,True,NORMAL
GR000144,BK000144,J000003,Group Demo Group 00144,1,GROUP,True,NORMAL
GR000145,BK000145,J000003,Group Demo Group 00145,1,GROUP,True,NORMAL
GR000146,BK000146,J000003,Couple Demo Group 00146,4,COUPLE,True,NORMAL
GR000147,BK000147,J000003,Group Demo Group 00147,1,GROUP,True,NORMAL
GR000148,BK000148,J000003,Family Demo Group 00148,4,FAMILY,True,NORMAL
GR000149,BK000149,J000003,Group Demo Group 00149,2,GROUP,True,NORMAL
GR000150,BK000150,J000003,Family Demo Group 00150,6,FAMILY,True,HIGH
GR000151,BK000151,J000003,Friends Demo Group 00151,6,FRIENDS,True,HIGH
GR000152,BK000152,J000003,Caregiver Demo Group 00152,6,CAREGIVER,True,HIGH
GR000153,BK000153,J000003,Group Demo Group 00153,1,GROUP,True,NORMAL
GR000154,BK000154,J000003,Family Demo Group 00154,6,FAMILY,True,HIGH
GR000155,BK000155,J000003,Friends Demo Group 00155,2,FRIENDS,True,NORMAL
GR000156,BK000156,J000003,Family Demo Group 00156,4,FAMILY,True,NORMAL
GR000157,BK000157,J000003,Friends Demo Group 00157,8,FRIENDS,True,HIGH
GR000158,BK000158,J000003,Friends Demo Group 00158,3,FRIENDS,True,NORMAL
GR000159,BK000159,J000003,Friends Demo Group 00159,2,FRIENDS,True,NORMAL
GR000160,BK000160,J000003,Family Demo Group 00160,4,FAMILY,True,NORMAL
GR000161,BK000161,J000003,Couple Demo Group 00161,5,COUPLE,True,NORMAL
GR000162,BK000162,J000003,Couple Demo Group 00162,8,COUPLE,True,HIGH
GR000163,BK000163,J000003,Couple Demo Group 00163,3,COUPLE,True,NORMAL
GR000164,BK000164,J000003,Family Demo Group 00164,4,FAMILY,True,NORMAL
GR000165,BK000165,J000003,Group Demo Group 00165,2,GROUP,True,NORMAL
GR000166,BK000166,J000003,Family Demo Group 00166,2,FAMILY,True,NORMAL
GR000167,BK000167,J000003,Friends Demo Group 00167,2,FRIENDS,True,NORMAL
GR000168,BK000168,J000003,Family Demo Group 00168,4,FAMILY,True,NORMAL
GR000169,BK000169,J000003,Family Demo Group 00169,3,FAMILY,True,NORMAL
GR000170,BK000170,J000003,Group Demo Group 00170,1,GROUP,True,NORMAL
GR000171,BK000171,J000003,Friends Demo Group 00171,2,FRIENDS,True,NORMAL
GR000172,BK000172,J000003,Group Demo Group 00172,3,GROUP,True,NORMAL
GR000173,BK000173,J000003,Group Demo Group 00173,2,GROUP,True,NORMAL
GR000174,BK000174,J000003,Couple Demo Group 00174,8,COUPLE,True,HIGH
GR000175,BK000175,J000003,Family Demo Group 00175,5,FAMILY,True,NORMAL
GR000176,BK000176,J000003,Family Demo Group 00176,4,FAMILY,True,NORMAL
GR000177,BK000177,J000003,Group Demo Group 00177,2,GROUP,True,NORMAL
GR000178,BK000178,J000003,Group Demo Group 00178,1,GROUP,True,NORMAL
GR000179,BK000179,J000003,Family Demo Group 00179,5,FAMILY,True,NORMAL
GR000180,BK000180,J000003,Couple Demo Group 00180,2,COUPLE,True,NORMAL
GR000181,BK000181,J000003,Group Demo Group 00181,2,GROUP,True,NORMAL
GR000182,BK000182,J000003,Group Demo Group 00182,1,GROUP,True,NORMAL
GR000183,BK000183,J000003,Group Demo Group 00183,8,GROUP,True,HIGH
GR000184,BK000184,J000003,Group Demo Group 00184,3,GROUP,True,NORMAL
GR000185,BK000185,J000003,Group Demo Group 00185,2,GROUP,True,NORMAL
GR000186,BK000186,J000003,Group Demo Group 00186,1,GROUP,True,NORMAL
GR000187,BK000187,J000003,Group Demo Group 00187,1,GROUP,True,NORMAL
GR000188,BK000188,J000003,Group Demo Group 00188,1,GROUP,True,NORMAL
GR000189,BK000189,J000003,Group Demo Group 00189,1,GROUP,True,NORMAL
GR000190,BK000190,J000003,Group Demo Group 00190,1,GROUP,True,NORMAL
GR000191,BK000191,J000003,Couple Demo Group 00191,3,COUPLE,True,NORMAL
GR000192,BK000192,J000003,Group Demo Group 00192,1,GROUP,True,NORMAL
GR000193,BK000193,J000003,Group Demo Group 00193,2,GROUP,True,NORMAL
GR000194,BK000194,J000003,Couple Demo Group 00194,4,COUPLE,True,NORMAL
GR000195,BK000195,J000003,Group Demo Group 00195,4,GROUP,True,NORMAL
GR000196,BK000196,J000003,Group Demo Group 00196,3,GROUP,True,NORMAL
GR000197,BK000197,J000003,Friends Demo Group 00197,4,FRIENDS,True,NORMAL
GR000198,BK000198,J000003,Family Demo Group 00198,6,FAMILY,True,HIGH
GR000199,BK000199,J000003,Friends Demo Group 00199,2,FRIENDS,True,NORMAL
GR000200,BK000200,J000003,Group Demo Group 00200,1,GROUP,True,NORMAL
GR000201,BK000201,J000003,Group Demo Group 00201,2,GROUP,True,NORMAL
GR000202,BK000202,J000004,Couple Demo Group 00202,4,COUPLE,True,NORMAL
GR000203,BK000203,J000004,Group Demo Group 00203,1,GROUP,True,NORMAL
GR000204,BK000204,J000004,Family Demo Group 00204,4,FAMILY,True,NORMAL
GR000205,BK000205,J000004,Group Demo Group 00205,6,GROUP,True,HIGH
GR000206,BK000206,J000004,Family Demo Group 00206,2,FAMILY,True,NORMAL
GR000207,BK000207,J000004,Group Demo Group 00207,1,GROUP,True,NORMAL
GR000208,BK000208,J000004,Couple Demo Group 00208,2,COUPLE,True,NORMAL
GR000209,BK000209,J000004,Caregiver Demo Group 00209,4,CAREGIVER,True,HIGH
GR000210,BK000210,J000004,Group Demo Group 00210,1,GROUP,True,NORMAL
GR000211,BK000211,J000004,Friends Demo Group 00211,6,FRIENDS,True,HIGH
GR000212,BK000212,J000004,Group Demo Group 00212,3,GROUP,True,NORMAL
GR000213,BK000213,J000004,Friends Demo Group 00213,4,FRIENDS,True,NORMAL
GR000214,BK000214,J000004,Couple Demo Group 00214,4,COUPLE,True,NORMAL
GR000215,BK000215,J000004,Couple Demo Group 00215,3,COUPLE,True,NORMAL
GR000216,BK000216,J000004,Friends Demo Group 00216,5,FRIENDS,True,NORMAL
GR000217,BK000217,J000004,Friends Demo Group 00217,8,FRIENDS,True,HIGH
GR000218,BK000218,J000004,Family Demo Group 00218,2,FAMILY,True,NORMAL
GR000219,BK000219,J000004,Group Demo Group 00219,4,GROUP,True,NORMAL
GR000220,BK000220,J000004,Group Demo Group 00220,1,GROUP,True,NORMAL
GR000221,BK000221,J000004,Friends Demo Group 00221,4,FRIENDS,True,NORMAL
GR000222,BK000222,J000004,Family Demo Group 00222,6,FAMILY,True,HIGH
GR000223,BK000223,J000004,Friends Demo Group 00223,6,FRIENDS,True,HIGH
GR000224,BK000224,J000004,Family Demo Group 00224,4,FAMILY,True,NORMAL
GR000225,BK000225,J000004,Group Demo Group 00225,2,GROUP,True,NORMAL
GR000226,BK000226,J000004,Couple Demo Group 00226,4,COUPLE,True,NORMAL
GR000227,BK000227,J000004,Group Demo Group 00227,1,GROUP,True,NORMAL
GR000228,BK000228,J000004,Group Demo Group 00228,1,GROUP,True,NORMAL
GR000229,BK000229,J000004,Couple Demo Group 00229,5,COUPLE,True,NORMAL
GR000230,BK000230,J000004,Couple Demo Group 00230,8,COUPLE,True,HIGH
GR000231,BK000231,J000004,Friends Demo Group 00231,2,FRIENDS,True,NORMAL
GR000232,BK000232,J000004,Group Demo Group 00232,3,GROUP,True,NORMAL
GR000233,BK000233,J000004,Family Demo Group 00233,3,FAMILY,True,NORMAL
GR000234,BK000234,J000004,Family Demo Group 00234,2,FAMILY,True,NORMAL
GR000235,BK000235,J000004,Group Demo Group 00235,8,GROUP,True,HIGH
GR000236,BK000236,J000004,Couple Demo Group 00236,2,COUPLE,True,NORMAL
GR000237,BK000237,J000004,Group Demo Group 00237,1,GROUP,True,NORMAL
GR000238,BK000238,J000004,Group Demo Group 00238,1,GROUP,True,NORMAL
GR000239,BK000239,J000004,Group Demo Group 00239,4,GROUP,True,NORMAL
GR000240,BK000240,J000004,Couple Demo Group 00240,2,COUPLE,True,NORMAL
GR000241,BK000241,J000004,Group Demo Group 00241,2,GROUP,True,NORMAL
GR000242,BK000242,J000004,Family Demo Group 00242,2,FAMILY,True,NORMAL
GR000243,BK000243,J000004,Group Demo Group 00243,4,GROUP,True,NORMAL
GR000244,BK000244,J000004,Group Demo Group 00244,3,GROUP,True,NORMAL
GR000245,BK000245,J000004,Family Demo Group 00245,7,FAMILY,True,HIGH
GR000246,BK000246,J000004,Friends Demo Group 00246,3,FRIENDS,True,NORMAL
GR000247,BK000247,J000004,Friends Demo Group 00247,2,FRIENDS,True,NORMAL
GR000248,BK000248,J000004,Couple Demo Group 00248,2,COUPLE,True,NORMAL
GR000249,BK000249,J000004,Couple Demo Group 00249,5,COUPLE,True,NORMAL
GR000250,BK000250,J000004,Group Demo Group 00250,5,GROUP,True,NORMAL
GR000251,BK000251,J000004,Group Demo Group 00251,1,GROUP,True,NORMAL
GR000252,BK000252,J000004,Group Demo Group 00252,1,GROUP,True,NORMAL
GR000253,BK000253,J000004,Group Demo Group 00253,2,GROUP,True,NORMAL
GR000254,BK000254,J000004,Family Demo Group 00254,2,FAMILY,True,NORMAL
GR000255,BK000255,J000004,Friends Demo Group 00255,2,FRIENDS,True,NORMAL
GR000256,BK000256,J000004,Group Demo Group 00256,1,GROUP,True,NORMAL
GR000257,BK000257,J000004,Family Demo Group 00257,3,FAMILY,True,NORMAL
GR000258,BK000258,J000004,Group Demo Group 00258,1,GROUP,True,NORMAL
GR000259,BK000259,J000004,Group Demo Group 00259,1,GROUP,True,NORMAL
GR000260,BK000260,J000004,Family Demo Group 00260,4,FAMILY,True,NORMAL
GR000261,BK000261,J000004,Friends Demo Group 00261,4,FRIENDS,True,NORMAL
GR000262,BK000262,J000004,Family Demo Group 00262,2,FAMILY,True,NORMAL
GR000263,BK000263,J000004,Group Demo Group 00263,4,GROUP,True,NORMAL
GR000264,BK000264,J000004,Couple Demo Group 00264,2,COUPLE,True,NORMAL
GR000265,BK000265,J000004,Group Demo Group 00265,2,GROUP,True,NORMAL
GR000266,BK000266,J000004,Caregiver Demo Group 00266,4,CAREGIVER,True,HIGH
GR000267,BK000267,J000004,Friends Demo Group 00267,6,FRIENDS,True,HIGH
GR000268,BK000268,J000004,Group Demo Group 00268,1,GROUP,True,NORMAL
GR000269,BK000269,J000005,Group Demo Group 00269,1,GROUP,True,NORMAL
GR000270,BK000270,J000005,Group Demo Group 00270,1,GROUP,True,NORMAL
GR000271,BK000271,J000005,Group Demo Group 00271,4,GROUP,True,NORMAL
GR000272,BK000272,J000005,Friends Demo Group 00272,5,FRIENDS,True,NORMAL
GR000273,BK000273,J000005,Friends Demo Group 00273,4,FRIENDS,True,NORMAL
GR000274,BK000274,J000005,Group Demo Group 00274,1,GROUP,True,NORMAL
GR000275,BK000275,J000005,Group Demo Group 00275,1,GROUP,True,NORMAL
GR000276,BK000276,J000005,Group Demo Group 00276,1,GROUP,True,NORMAL
GR000277,BK000277,J000005,Family Demo Group 00277,3,FAMILY,True,NORMAL
GR000278,BK000278,J000005,Couple Demo Group 00278,4,COUPLE,True,NORMAL
GR000279,BK000279,J000005,Group Demo Group 00279,1,GROUP,True,NORMAL
GR000280,BK000280,J000005,Group Demo Group 00280,3,GROUP,True,NORMAL
GR000281,BK000281,J000005,Group Demo Group 00281,1,GROUP,True,NORMAL
GR000282,BK000282,J000005,Group Demo Group 00282,1,GROUP,True,NORMAL
GR000283,BK000283,J000005,Group Demo Group 00283,4,GROUP,True,NORMAL
GR000284,BK000284,J000005,Family Demo Group 00284,4,FAMILY,True,NORMAL
GR000285,BK000285,J000005,Group Demo Group 00285,1,GROUP,True,NORMAL
GR000286,BK000286,J000005,Friends Demo Group 00286,3,FRIENDS,True,NORMAL
GR000287,BK000287,J000005,Group Demo Group 00287,8,GROUP,True,HIGH
GR000288,BK000288,J000005,Couple Demo Group 00288,2,COUPLE,True,NORMAL
GR000289,BK000289,J000005,Group Demo Group 00289,1,GROUP,True,NORMAL
GR000290,BK000290,J000005,Group Demo Group 00290,1,GROUP,True,NORMAL
GR000291,BK000291,J000005,Group Demo Group 00291,8,GROUP,True,HIGH
GR000292,BK000292,J000005,Family Demo Group 00292,4,FAMILY,True,NORMAL
GR000293,BK000293,J000005,Group Demo Group 00293,1,GROUP,True,NORMAL
GR000294,BK000294,J000005,Family Demo Group 00294,2,FAMILY,True,NORMAL
GR000295,BK000295,J000005,Group Demo Group 00295,4,GROUP,True,NORMAL
GR000296,BK000296,J000005,Group Demo Group 00296,1,GROUP,True,NORMAL
GR000297,BK000297,J000005,Family Demo Group 00297,3,FAMILY,True,NORMAL
GR000298,BK000298,J000005,Couple Demo Group 00298,4,COUPLE,True,NORMAL
GR000299,BK000299,J000005,Group Demo Group 00299,4,GROUP,True,NORMAL
GR000300,BK000300,J000005,Group Demo Group 00300,3,GROUP,True,NORMAL
GR000301,BK000301,J000005,Family Demo Group 00301,3,FAMILY,True,NORMAL
GR000302,BK000302,J000005,Group Demo Group 00302,1,GROUP,True,NORMAL
GR000303,BK000303,J000005,Friends Demo Group 00303,2,FRIENDS,True,NORMAL
GR000304,BK000304,J000005,Group Demo Group 00304,1,GROUP,True,NORMAL
GR000305,BK000305,J000005,Group Demo Group 00305,6,GROUP,True,HIGH
GR000306,BK000306,J000005,Group Demo Group 00306,1,GROUP,True,NORMAL
GR000307,BK000307,J000005,Couple Demo Group 00307,3,COUPLE,True,NORMAL
GR000308,BK000308,J000005,Friends Demo Group 00308,5,FRIENDS,True,NORMAL
GR000309,BK000309,J000005,Friends Demo Group 00309,4,FRIENDS,True,NORMAL
GR000310,BK000310,J000005,Couple Demo Group 00310,4,COUPLE,True,NORMAL
GR000311,BK000311,J000005,Group Demo Group 00311,1,GROUP,True,NORMAL
GR000312,BK000312,J000005,Group Demo Group 00312,1,GROUP,True,NORMAL
GR000313,BK000313,J000005,Family Demo Group 00313,3,FAMILY,True,NORMAL
GR000314,BK000314,J000005,Family Demo Group 00314,2,FAMILY,True,NORMAL
GR000315,BK000315,J000005,Couple Demo Group 00315,3,COUPLE,True,NORMAL
GR000316,BK000316,J000005,Couple Demo Group 00316,2,COUPLE,True,NORMAL
GR000317,BK000317,J000005,Group Demo Group 00317,2,GROUP,True,NORMAL
GR000318,BK000318,J000005,Group Demo Group 00318,1,GROUP,True,NORMAL
GR000319,BK000319,J000005,Group Demo Group 00319,4,GROUP,True,NORMAL
GR000320,BK000320,J000005,Group Demo Group 00320,1,GROUP,True,NORMAL
GR000321,BK000321,J000005,Group Demo Group 00321,2,GROUP,True,NORMAL
GR000322,BK000322,J000005,Group Demo Group 00322,1,GROUP,True,NORMAL
GR000323,BK000323,J000005,Group Demo Group 00323,1,GROUP,True,NORMAL
GR000324,BK000324,J000005,Group Demo Group 00324,3,GROUP,True,NORMAL
GR000325,BK000325,J000005,Group Demo Group 00325,1,GROUP,True,NORMAL
GR000326,BK000326,J000005,Group Demo Group 00326,1,GROUP,True,NORMAL
GR000327,BK000327,J000005,Group Demo Group 00327,4,GROUP,True,NORMAL
GR000328,BK000328,J000005,Group Demo Group 00328,1,GROUP,True,NORMAL
GR000329,BK000329,J000005,Family Demo Group 00329,3,FAMILY,True,NORMAL
GR000330,BK000330,J000005,Family Demo Group 00330,2,FAMILY,True,NORMAL
GR000331,BK000331,J000005,Group Demo Group 00331,4,GROUP,True,NORMAL
GR000332,BK000332,J000005,Family Demo Group 00332,4,FAMILY,True,NORMAL
GR000333,BK000333,J000005,Group Demo Group 00333,2,GROUP,True,NORMAL
GR000334,BK000334,J000005,Family Demo Group 00334,6,FAMILY,True,HIGH
GR000335,BK000335,J000005,Friends Demo Group 00335,2,FRIENDS,True,NORMAL
GR000336,BK000336,J000006,Couple Demo Group 00336,2,COUPLE,True,NORMAL
GR000337,BK000337,J000006,Group Demo Group 00337,2,GROUP,True,NORMAL
GR000338,BK000338,J000006,Group Demo Group 00338,5,GROUP,True,NORMAL
GR000339,BK000339,J000006,Group Demo Group 00339,4,GROUP,True,NORMAL
