preference_id,passenger_id,journey_id,preferred_berth_type,preferred_coach,willing_to_exchange,exchange_same_coach_only,exchange_same_class_only,special_note
PR0000098,P000098,J000001,LOWER,,False,False,True,
PR0000099,P000099,J000001,LOWER,B2,False,False,True,
PR0000100,P000100,J000001,LOWER,B1,True,True,False,
PR0000101,P000101,J000001,LOWER,B1,True,True,True,
PR0000102,P000102,J000001,LOWER,B1,True,True,True,
PR0000103,P000103,J000001,LOWER,B1,True,True,True,
PR0000104,P000104,J000001,LOWER,B3,True,True,True,
PR0000105,P000105,J000001,LOWER,B3,True,True,True,
PR0000106,P000108,J000001,LOWER,,False,False,True,
PR0000107,P000109,J000001,LOWER,,False,False,True,
PR0000108,P000110,J000001,LOWER,B1,True,True,True,
PR0000109,P000111,J000001,LOWER,B1,True,True,True,
PR0000110,P000112,J000001,LOWER,B1,True,True,True,
PR0000111,P000113,J000001,LOWER,B1,True,True,True,
PR0000112,P000114,J000001,LOWER,B1,True,True,True,
PR0000113,P000115,J000001,LOWER,B1,True,True,True,
PR0000114,P000116,J000001,LOWER,S1,True,True,True,
PR0000115,P000117,J000001,LOWER,,True,False,True,
PR0000116,P000118,J000001,LOWER,,False,False,True,
PR0000117,P000119,J000001,LOWER,,False,False,True,
PR0000118,P000120,J000001,LOWER,B1,True,True,False,
PR0000119,P000121,J000001,LOWER,B1,True,True,True,
PR0000120,P000122,J000001,LOWER,B2,True,True,True,
PR0000121,P000123,J000001,LOWER,B2,True,True,True,
PR0000122,P000124,J000001,LOWER,B2,True,True,True,
PR0000123,P000125,J000001,LOWER,B2,True,True,True,
PR0000124,P000126,J000001,LOWER,B2,True,True,True,
PR0000125,P000127,J000001,LOWER,,True,False,True,
PR0000126,P000128,J000001,LOWER,,False,False,True,
PR0000127,P000129,J000001,LOWER,,False,False,True,
PR0000128,P000130,J000001,LOWER,B3,True,True,True,
PR0000129,P000132,J000001,LOWER,B1,True,True,True,
PR0000130,P000133,J000001,LOWER,B1,True,True,True,
PR0000131,P000134,J000001,LOWER,B1,True,True,True,
PR0000132,P000135,J000001,LOWER,B1,True,True,True,
PR0000133,P000136,J000001,LOWER,B1,True,True,True,
PR0000134,P000137,J000001,LOWER,,True,False,True,
PR0000135,P000138,J000001,LOWER,,False,False,True,
PR0000136,P000139,J000001,LOWER,,False,False,True,
PR0000137,P000140,J000001,LOWER,B3,True,True,False,
PR0000138,P000141,J000001,LOWER,B3,True,True,True,
PR0000139,P000142,J000001,LOWER,B3,True,True,True,
PR0000140,P000143,J000001,LOWER,S1,True,True,True,
PR0000141,P000144,J000001,LOWER,S1,True,True,True,
PR0000142,P000145,J000001,LOWER,B3,True,True,True,
PR0000143,P000146,J000001,LOWER,B2,True,True,True,
PR0000144,P000147,J000001,LOWER,,True,False,True,
PR0000145,P000148,J000001,LOWER,,False,False,True,
PR0000146,P000149,J000001,LOWER,,False,False,True,
PR0000147,P000150,J000001,LOWER,B2,True,True,True,
PR0000148,P000151,J000001,LOWER,B2,True,True,True,
PR0000149,P000152,J000001,LOWER,B2,True,True,True,
PR0000150,P000153,J000001,LOWER,B2,True,True,True,
PR0000151,P000154,J000001,LOWER,B2,True,True,True,
PR0000152,P000155,J000001,LOWER,B2,True,True,True,
PR0000153,P000156,J000001,LOWER,B2,True,True,True,
PR0000154,P000157,J000001,LOWER,,True,False,True,
PR0000155,P000158,J000001,LOWER,,False,False,True,
PR0000156,P000159,J000001,LOWER,,False,False,True,
PR0000157,P000160,J000001,LOWER,B3,True,True,False,
PR0000158,P000161,J000001,LOWER,B3,True,True,True,
PR0000159,P000162,J000001,LOWER,B3,True,True,True,
PR0000160,P000163,J000001,LOWER,B3,True,True,True,
PR0000161,P000164,J000001,LOWER,B3,True,True,True,
PR0000162,P000165,J000001,LOWER,B3,True,True,True,
PR0000163,P000166,J000001,LOWER,B2,True,True,True,
PR0000164,P000167,J000001,LOWER,,True,False,True,
PR0000165,P000168,J000001,LOWER,,False,False,True,
PR0000166,P000169,J000001,LOWER,,False,False,True,
PR0000167,P000170,J000001,LOWER,B2,True,True,True,
PR0000168,P000171,J000001,LOWER,B2,True,True,True,
PR0000169,P000172,J000001,LOWER,B2,True,True,True,
PR0000170,P000173,J000001,LOWER,B2,True,True,True,
PR0000171,P000174,J000001,LOWER,B3,True,True,True,
PR0000172,P000175,J000001,LOWER,B3,True,True,True,
PR0000173,P000176,J000001,LOWER,B3,True,True,True,
PR0000174,P000177,J000001,LOWER,,True,False,True,
PR0000175,P000178,J000001,LOWER,,False,False,True,
PR0000176,P000179,J000001,LOWER,,False,False,True,
PR0000177,P000180,J000001,LOWER,B1,True,True,False,
PR0000178,P000181,J000001,LOWER,B1,True,True,True,
PR0000179,P000182,J000001,LOWER,B1,True,True,True,
PR0000180,P000183,J000001,LOWER,B1,True,True,True,
PR0000181,P000184,J000001,LOWER,B1,True,True,True,
PR0000182,P000185,J000001,LOWER,B1,True,True,True,
PR0000183,P000186,J000001,LOWER,B1,True,True,True,
PR0000184,P000187,J000001,LOWER,B1,True,False,True,
PR0000185,P000188,J000001,LOWER,,False,False,True,
PR0000186,P000189,J000001,LOWER,,False,False,True,
PR0000187,P000190,J000001,LOWER,B3,True,True,True,Synthetic senior prefers lower berth.
PR0000188,P000191,J000001,LOWER,B3,True,True,True,
PR0000189,P000192,J000001,LOWER,B3,True,True,True,
PR0000190,P000193,J000001,LOWER,B3,True,True,True,
PR0000191,P000194,J000001,LOWER,B3,True,True,True,
PR0000192,P000195,J000001,LOWER,B3,True,True,True,
PR0000193,P000196,J000001,LOWER,B3,True,True,True,
PR0000194,P000197,J000001,LOWER,,True,False,True,
PR0000195,P000198,J000001,LOWER,B3,False,False,True,
PR0000196,P000199,J000001,LOWER,,False,False,True,
PR0000197,P000200,J000001,LOWER,B3,True,True,False,
PR0000198,P000201,J000001,LOWER,B3,True,True,True,
PR0000199,P000202,J000001,LOWER,B3,True,True,True,
PR0000200,P000203,J000001,LOWER,S1,True,True,True,
PR0000201,P000204,J000001,LOWER,B3,True,True,True,
PR0000202,P000205,J000001,LOWER,B3,True,True,True,
PR0000203,P000206,J000001,LOWER,B3,True,True,True,
PR0000204,P000207,J000001,LOWER,,True,False,True,
PR0000205,P000208,J000001,LOWER,,False,False,True,
PR0000206,P000209,J000001,LOWER,B3,False,False,True,
PR0000207,P000214,J000001,LOWER,B1,True,True,True,
PR0000208,P000215,J000001,LOWER,B1,True,True,True,
PR0000209,P000216,J000001,LOWER,B1,True,True,True,
PR0000210,P000217,J000001,LOWER,,True,False,True,
PR0000211,P000218,J000001,LOWER,,False,False,True,
PR0000212,P000219,J000002,LOWER,,False,False,True,
PR0000213,P000220,J000002,LOWER,B1,True,True,False,
PR0000214,P000221,J000002,LOWER,B1,True,True,True,
PR0000215,P000222,J000002,LOWER,B2,True,True,True,
PR0000216,P000223,J000002,LOWER,B2,True,True,True,
PR0000217,P000224,J000002,LOWER,B2,True,True,True,
PR0000218,P000225,J000002,LOWER,B2,True,True,True,
PR0000219,P000226,J000002,LOWER,B3,True,True,True,
PR0000220,P000227,J000002,LOWER,,True,False,True,
PR0000221,P000228,J000002,LOWER,,False,False,True,
PR0000222,P000229,J000002,LOWER,,False,False,True,
PR0000223,P000230,J000002,LOWER,B1,True,True,True,
PR0000224,P000231,J000002,LOWER,B1,True,True,True,
PR0000225,P000232,J000002,LOWER,B3,True,True,True,
PR0000226,P000233,J000002,LOWER,B1,True,True,True,
PR0000227,P000234,J000002,LOWER,B1,True,True,True,
PR0000228,P000235,J000002,LOWER,B1,True,True,True,
PR0000229,P000236,J000002,LOWER,B1,True,True,True,
PR0000230,P000237,J000002,LOWER,,True,False,True,
PR0000231,P000238,J000002,LOWER,,False,False,True,
PR0000232,P000239,J000002,LOWER,,False,False,True,
PR0000233,P000240,J000002,LOWER,B2,True,True,False,
PR0000234,P000241,J000002,LOWER,B2,True,True,True,
PR0000235,P000242,J000002,LOWER,B2,True,True,True,
PR0000236,P000243,J000002,LOWER,B2,True,True,True,
PR0000237,P000244,J000002,LOWER,B2,True,True,True,
PR0000238,P000247,J000002,LOWER,,True,False,True,
PR0000239,P000248,J000002,LOWER,,False,False,True,
PR0000240,P000249,J000002,LOWER,,False,False,True,
PR0000241,P000250,J000002,LOWER,B3,True,True,True,
PR0000242,P000251,J000002,LOWER,B2,True,True,True,
PR0000243,P000252,J000002,LOWER,B2,True,True,True,
PR0000244,P000253,J000002,LOWER,B2,True,True,True,
PR0000245,P000254,J000002,LOWER,B2,True,True,True,
PR0000246,P000255,J000002,LOWER,B2,True,True,True,
PR0000247,P000256,J000002,LOWER,B2,True,True,True,
PR0000248,P000257,J000002,LOWER,,True,False,True,
PR0000249,P000258,J000002,LOWER,,False,False,True,
PR0000250,P000259,J000002,LOWER,,False,False,True,
PR0000251,P000260,J000002,LOWER,B2,True,True,False,Synthetic senior prefers lower berth.
PR0000252,P000261,J000002,LOWER,B2,True,True,True,
PR0000253,P000262,J000002,LOWER,B2,True,True,True,
PR0000254,P000263,J000002,LOWER,B2,True,True,True,
PR0000255,P000264,J000002,LOWER,B2,True,True,True,
PR0000256,P000265,J000002,LOWER,B2,True,True,True,
PR0000257,P000266,J000002,LOWER,B2,True,True,True,
PR0000258,P000267,J000002,LOWER,,True,False,True,
PR0000259,P000268,J000002,LOWER,,False,False,True,
PR0000260,P000269,J000002,LOWER,,False,False,True,
PR0000261,P000270,J000002,LOWER,B1,True,True,True,
PR0000262,P000271,J000002,LOWER,B1,True,True,True,
PR0000263,P000272,J000002,LOWER,S1,True,True,True,
PR0000264,P000273,J000002,LOWER,S1,True,True,True,
PR0000265,P000274,J000002,LOWER,S1,True,True,True,
PR0000266,P000275,J000002,LOWER,B3,True,True,True,
PR0000267,P000276,J000002,LOWER,B1,True,True,True,
PR0000268,P000277,J000002,LOWER,,True,False,True,
PR0000269,P000278,J000002,LOWER,,False,False,True,
PR0000270,P000279,J000002,LOWER,,False,False,True,
PR0000271,P000280,J000002,LOWER,B1,True,True,False,
PR0000272,P000281,J000002,LOWER,B1,True,True,True,
PR0000273,P000282,J000002,LOWER,B2,True,True,True,
PR0000274,P000283,J000002,LOWER,B2,True,True,True,
PR0000275,P000284,J000002,LOWER,B2,True,True,True,
PR0000276,P000285,J000002,LOWER,B2,True,True,True,
PR0000277,P000286,J000002,LOWER,B3,True,True,True,
PR0000278,P000287,J000002,LOWER,,True,False,True,
PR0000279,P000288,J000002,LOWER,,False,False,True,
PR0000280,P000289,J000002,LOWER,,False,False,True,
PR0000281,P000290,J000002,LOWER,B2,True,True,True,
PR0000282,P000291,J000002,LOWER,B2,True,True,True,
PR0000283,P000292,J000002,LOWER,B2,True,True,True,
PR0000284,P000293,J000002,LOWER,B2,True,True,True,
PR0000285,P000303,J000002,LOWER,B1,True,True,True,
PR0000286,P000304,J000002,LOWER,B1,True,True,True,
PR0000287,P000305,J000002,LOWER,B1,True,True,True,
PR0000288,P000306,J000002,LOWER,B2,True,True,True,
PR0000289,P000307,J000002,LOWER,,True,False,True,
PR0000290,P000308,J000002,LOWER,B2,False,False,True,
PR0000291,P000309,J000002,LOWER,,False,False,True,
PR0000292,P000310,J000002,LOWER,B2,True,True,True,
PR0000293,P000311,J000002,LOWER,B1,True,True,True,
PR0000294,P000312,J000002,LOWER,B1,True,True,True,
PR0000295,P000313,J000002,LOWER,B3,True,True,True,
PR0000296,P000314,J000002,LOWER,B3,True,True,True,
PR0000297,P000315,J000002,LOWER,B2,True,True,True,
PR0000298,P000316,J000002,LOWER,B2,True,True,True,
PR0000299,P000317,J000002,LOWER,,True,False,True,
PR0000300,P000318,J000002,LOWER,,False,False,True,
PR0000301,P000319,J000002,LOWER,B1,False,False,True,
PR0000302,P000320,J000002,LOWER,B1,True,True,False,
PR0000303,P000321,J000002,LOWER,S1,True,True,True,
PR0000304,P000322,J000002,LOWER,S1,True,True,True,
PR0000305,P000323,J000002,LOWER,S1,True,True,True,
PR0000306,P000324,J000002,LOWER,S1,True,True,True,
PR0000307,P000325,J000002,LOWER,B2,True,True,True,
PR0000308,P000326,J000002,LOWER,B2,True,True,True,
PR0000309,P000327,J000002,LOWER,,True,False,True,
PR0000310,P000328,J000002,LOWER,,False,False,True,
PR0000311,P000329,J000002,LOWER,,False,False,True,
PR0000312,P000330,J000002,LOWER,B1,True,True,True,
PR0000313,P000331,J000002,LOWER,B1,True,True,True,
PR0000314,P000332,J000002,LOWER,B1,True,True,True,
PR0000315,P000333,J000002,LOWER,B1,True,True,True,
PR0000316,P000334,J000002,LOWER,B1,True,True,True,
PR0000317,P000335,J000002,LOWER,B1,True,True,True,
PR0000318,P000336,J000002,LOWER,B1,True,True,True,
PR0000319,P000337,J000002,LOWER,,True,False,True,
PR0000320,P000338,J000002,LOWER,,False,False,True,
PR0000321,P000339,J000002,LOWER,,False,False,True,
PR0000322,P000340,J000002,LOWER,B1,True,True,False,
PR0000323,P000341,J000002,LOWER,B3,True,True,True,
PR0000324,P000342,J000002,LOWER,B3,True,True,True,
PR0000325,P000343,J000002,LOWER,B1,True,True,True,Synthetic senior prefers lower berth.
PR0000326,P000344,J000002,LOWER,B1,True,True,True,
PR0000327,P000345,J000002,LOWER,B1,True,True,True,
PR0000328,P000346,J000002,LOWER,B1,True,True,True,
PR0000329,P000347,J000002,LOWER,,True,False,True,
PR0000330,P000348,J000002,LOWER,,False,False,True,
PR0000331,P000349,J000002,LOWER,,False,False,True,
PR0000332,P000350,J000002,LOWER,B2,True,True,True,
PR0000333,P000351,J000002,LOWER,B2,True,True,True,
PR0000334,P000352,J000002,LOWER,B2,True,True,True,
PR0000335,P000353,J000002,LOWER,B2,True,True,True,
PR0000336,P000354,J000002,LOWER,B2,True,True,True,
PR0000337,P000355,J000002,LOWER,B2,True,True,True,
PR0000338,P000359,J000002,LOWER,,False,False,True,
PR0000339,P000360,J000002,LOWER,B1,True,True,False,
PR0000340,P000361,J000002,LOWER,B1,True,True,True,
PR0000341,P000362,J000002,LOWER,B1,True,True,True,
PR0000342,P000363,J000002,LOWER,B1,True,True,True,
PR0000343,P000364,J000002,LOWER,B2,True,True,True,
PR0000344,P000365,J000002,LOWER,B2,True,True,True,
PR0000345,P000366,J000002,LOWER,B2,True,True,True,
PR0000346,P000367,J000002,LOWER,,True,False,True,
PR0000347,P000368,J000002,LOWER,,False,False,True,
PR0000348,P000369,J000002,LOWER,,False,False,True,
PR0000349,P000370,J000002,LOWER,B1,True,True,True,
PR0000350,P000371,J000002,LOWER,B1,True,True,True,
PR0000351,P000372,J000002,LOWER,B1,True,True,True,
PR0000352,P000373,J000002,LOWER,B1,True,True,True,
PR0000353,P000374,J000002,LOWER,B1,True,True,True,
PR0000354,P000375,J000002,LOWER,B1,True,True,True,
PR0000355,P000376,J000002,LOWER,B1,True,True,True,
PR0000356,P000377,J000002,LOWER,,True,False,True,
PR0000357,P000378,J000002,LOWER,,False,False,True,
PR0000358,P000379,J000002,LOWER,,False,False,True,
PR0000359,P000380,J000002,LOWER,S1,True,True,False,
PR0000360,P000381,J000002,LOWER,B1,True,True,True,
PR0000361,P000382,J000002,LOWER,B1,True,True,True,
PR0000362,P000383,J000002,LOWER,B3,True,True,True,
PR0000363,P000384,J000002,LOWER,B3,True,True,True,
PR0000364,P000385,J000002,LOWER,B2,True,True,True,
PR0000365,P000386,J000002,LOWER,B2,True,True,True,
PR0000366,P000387,J000002,LOWER,,True,False,True,
PR0000367,P000388,J000002,LOWER,,False,False,True,
PR0000368,P000389,J000002,LOWER,,False,False,True,
PR0000369,P000390,J000002,LOWER,B2,True,True,True,
PR0000370,P000391,J000002,LOWER,B1,True,True,True,
PR0000371,P000392,J000002,LOWER,B1,True,True,True,
PR0000372,P000393,J000002,LOWER,B1,True,True,True,
PR0000373,P000394,J000002,LOWER,B3,True,True,True,
PR0000374,P000395,J000002,LOWER,B3,True,True,True,
PR0000375,P000397,J000002,LOWER,,True,False,True,
PR0000376,P000398,J000002,LOWER,,False,False,True,
PR0000377,P000399,J000002,LOWER,,False,False,True,
PR0000378,P000400,J000002,LOWER,B2,True,True,False,
PR0000379,P000401,J000002,LOWER,B2,True,True,True,
PR0000380,P000402,J000002,LOWER,B2,True,True,True,
PR0000381,P000403,J000002,LOWER,B2,True,True,True,
PR0000382,P000404,J000002,LOWER,B2,True,True,True,
PR0000383,P000405,J000002,LOWER,B1,True,True,True,
PR0000384,P000406,J000002,LOWER,B1,True,True,True,
PR0000385,P000407,J000002,LOWER,B1,True,False,True,
PR0000386,P000408,J000002,LOWER,,False,False,True,
PR0000387,P000409,J000003,LOWER,,False,False,True,
PR0000388,P000410,J000003,LOWER,S1,True,True,True,
PR0000389,P000411,J000003,LOWER,S1,True,True,True,
PR0000390,P000412,J000003,LOWER,S1,True,True,True,
PR0000391,P000413,J000003,LOWER,B1,True,True,True,
PR0000392,P000414,J000003,LOWER,B1,True,True,True,
PR0000393,P000415,J000003,LOWER,B1,True,True,True,
PR0000394,P000416,J000003,LOWER,B1,True,True,True,
PR0000395,P000417,J000003,LOWER,,True,False,True,
PR0000396,P000418,J000003,LOWER,B1,False,False,True,
PR0000397,P000419,J000003,LOWER,,False,False,True,
PR0000398,P000420,J000003,LOWER,B1,True,True,False,
PR0000399,P000421,J000003,LOWER,B1,True,True,True,
PR0000400,P000422,J000003,LOWER,B1,True,True,True,
PR0000401,P000423,J000003,LOWER,B1,True,True,True,
PR0000402,P000424,J000003,LOWER,B1,True,True,True,
PR0000403,P000425,J000003,LOWER,B1,True,True,True,
PR0000404,P000426,J000003,LOWER,B1,True,True,True,
PR0000405,P000427,J000003,LOWER,,True,False,True,
PR0000406,P000428,J000003,LOWER,,False,False,True,
PR0000407,P000429,J000003,LOWER,S1,False,False,True,
PR0000408,P000430,J000003,LOWER,B3,False,True,True,
PR0000409,P000431,J000003,LOWER,B1,True,True,True,
PR0000410,P000432,J000003,LOWER,B1,True,True,True,
PR0000411,P000433,J000003,LOWER,B1,True,True,True,
PR0000412,P000434,J000003,LOWER,B1,True,True,True,
PR0000413,P000435,J000003,LOWER,B3,False,True,True,
PR0000414,P000436,J000003,LOWER,B1,True,True,True,
PR0000415,P000437,J000003,LOWER,,True,False,True,
PR0000416,P000438,J000003,LOWER,,False,False,True,
PR0000417,P000439,J000003,LOWER,,False,False,True,
PR0000418,P000440,J000003,LOWER,B3,False,True,False,
PR0000419,P000441,J000003,LOWER,B3,False,True,True,
PR0000420,P000442,J000003,LOWER,B2,True,True,True,
PR0000421,P000443,J000003,LOWER,B2,True,True,True,
PR0000422,P000444,J000003,LOWER,B2,True,True,True,
PR0000423,P000445,J000003,LOWER,B2,True,True,True,
PR0000424,P000446,J000003,LOWER,B2,True,True,True,
PR0000425,P000447,J000003,LOWER,,True,False,True,
PR0000426,P000448,J000003,LOWER,,False,False,True,
PR0000427,P000449,J000003,LOWER,,False,False,True,
PR0000428,P000450,J000003,LOWER,B2,True,True,True,
PR0000429,P000451,J000003,LOWER,B2,True,True,True,
PR0000430,P000452,J000003,LOWER,B2,True,True,True,
PR0000431,P000453,J000003,LOWER,B2,True,True,True,
PR0000432,P000454,J000003,LOWER,B2,True,True,True,
PR0000433,P000455,J000003,LOWER,B2,True,True,True,
PR0000434,P000456,J000003,LOWER,B2,True,True,True,
PR0000435,P000457,J000003,LOWER,,True,False,True,
PR0000436,P000458,J000003,LOWER,,False,False,True,
PR0000437,P000459,J000003,LOWER,,False,False,True,
PR0000438,P000460,J000003,LOWER,S1,True,True,False,
PR0000439,P000461,J000003,LOWER,B2,True,True,True,
PR0000440,P000462,J000003,LOWER,B2,True,True,True,
PR0000441,P000463,J000003,LOWER,B2,True,True,True,
PR0000442,P000464,J000003,LOWER,B2,True,True,True,
PR0000443,P000465,J000003,LOWER,B2,True,True,True,
PR0000444,P000466,J000003,LOWER,B2,True,True,True,
PR0000445,P000467,J000003,LOWER,,False,False,True,
PR0000446,P000468,J000003,LOWER,,False,False,True,
PR0000447,P000469,J000003,LOWER,,False,False,True,
PR0000448,P000470,J000003,LOWER,B1,True,True,True,
PR0000449,P000471,J000003,LOWER,B1,True,True,True,
PR0000450,P000472,J000003,LOWER,B1,True,True,True,
PR0000451,P000473,J000003,LOWER,B2,True,True,True,
PR0000452,P000474,J000003,LOWER,B2,True,True,True,
PR0000453,P000475,J000003,LOWER,B2,True,True,True,
PR0000454,P000476,J000003,LOWER,B2,True,True,True,
PR0000455,P000477,J000003,LOWER,,True,False,True,
PR0000456,P000478,J000003,LOWER,,False,False,True,
PR0000457,P000479,J000003,LOWER,,False,False,True,
PR0000458,P000480,J000003,LOWER,B2,True,True,False,
PR0000459,P000481,J000003,LOWER,B1,True,True,True,
PR0000460,P000482,J000003,LOWER,B1,True,True,True,
PR0000461,P000483,J000003,LOWER,B1,True,True,True,
PR0000462,P000484,J000003,LOWER,B3,False,True,True,
PR0000463,P000485,J000003,LOWER,B3,False,True,True,
PR0000464,P000490,J000003,LOWER,B2,True,True,True,Synthetic child is part of a family group.
PR0000465,P000491,J000003,LOWER,B2,True,True,True,
PR0000466,P000492,J000003,LOWER,B2,True,True,True,
PR0000467,P000493,J000003,LOWER,B2,True,True,True,
PR0000468,P000494,J000003,LOWER,B2,True,True,True,
PR0000469,P000495,J000003,LOWER,B2,True,True,True,
PR0000470,P000496,J000003,LOWER,B2,True,True,True,
PR0000471,P000497,J000003,LOWER,,True,False,True,
PR0000472,P000498,J000003,LOWER,,False,False,True,
PR0000473,P000499,J000003,LOWER,,False,False,True,
PR0000474,P000500,J000003,LOWER,B2,True,True,False,
PR0000475,P000501,J000003,LOWER,B2,True,True,True,
PR0000476,P000502,J000003,LOWER,B2,True,True,True,
PR0000477,P000503,J000003,LOWER,B1,True,True,True,
PR0000478,P000504,J000003,LOWER,B1,True,True,True,
PR0000479,P000505,J000003,LOWER,B1,True,True,True,
PR0000480,P000506,J000003,LOWER,B1,True,True,True,
PR0000481,P000507,J000003,LOWER,,True,False,True,
