seat_id,coach_id,coach_number,seat_number,berth_type,row_number,position,is_window,is_aisle
SE0000048,CO000001,B1,48,UPPER,8,AISLE,False,True
SE0000049,CO000001,B1,49,SIDE_LOWER,9,SIDE,False,False
SE0000050,CO000001,B1,50,SIDE_UPPER,9,SIDE,False,False
SE0000051,CO000001,B1,51,SIDE_LOWER,10,SIDE,False,False
SE0000052,CO000001,B1,52,SIDE_UPPER,10,SIDE,False,False
SE0000053,CO000001,B1,53,SIDE_LOWER,11,SIDE,False,False
SE0000054,CO000001,B1,54,SIDE_UPPER,11,SIDE,False,False
SE0000055,CO000001,B1,55,SIDE_LOWER,12,SIDE,False,False
SE0000056,CO000001,B1,56,SIDE_UPPER,12,SIDE,False,False
SE0000057,CO000001,B1,57,SIDE_LOWER,13,SIDE,False,False
SE0000058,CO000001,B1,58,SIDE_UPPER,13,SIDE,False,False
SE0000059,CO000001,B1,59,SIDE_LOWER,14,SIDE,False,False
SE0000060,CO000001,B1,60,SIDE_UPPER,14,SIDE,False,False
SE0000061,CO000001,B1,61,SIDE_LOWER,15,SIDE,False,False
SE0000062,CO000001,B1,62,SIDE_UPPER,15,SIDE,False,False
SE0000063,CO000001,B1,63,SIDE_LOWER,16,SIDE,False,False
SE0000064,CO000001,B1,64,SIDE_UPPER,16,SIDE,False,False
SE0000065,CO000002,B2,1,LOWER,1,WINDOW,True,False
SE0000066,CO000002,B2,2,MIDDLE,1,MIDDLE,False,False
SE0000067,CO000002,B2,3,UPPER,1,AISLE,False,True
SE0000068,CO000002,B2,4,LOWER,1,WINDOW,True,False
SE0000069,CO000002,B2,5,MIDDLE,1,MIDDLE,False,False
SE0000070,CO000002,B2,6,UPPER,1,AISLE,False,True
SE0000071,CO000002,B2,7,LOWER,2,WINDOW,True,False
SE0000072,CO000002,B2,8,MIDDLE,2,MIDDLE,False,False
SE0000073,CO000002,B2,9,UPPER,2,AISLE,False,True
SE0000074,CO000002,B2,10,LOWER,2,WINDOW,True,False
SE0000075,CO000002,B2,11,MIDDLE,2,MIDDLE,False,False
SE0000076,CO000002,B2,12,UPPER,2,AISLE,False,True
SE0000077,CO000002,B2,13,LOWER,3,WINDOW,True,False
SE0000078,CO000002,B2,14,MIDDLE,3,MIDDLE,False,False
SE0000079,CO000002,B2,15,UPPER,3,AISLE,False,True
SE0000080,CO000002,B2,16,LOWER,3,WINDOW,True,False
SE0000081,CO000002,B2,17,MIDDLE,3,MIDDLE,False,False
SE0000082,CO000002,B2,18,UPPER,3,AISLE,False,True
SE0000083,CO000002,B2,19,LOWER,4,WINDOW,True,False
SE0000084,CO000002,B2,20,MIDDLE,4,MIDDLE,False,False
SE0000085,CO000002,B2,21,UPPER,4,AISLE,False,True
SE0000086,CO000002,B2,22,LOWER,4,WINDOW,True,False
SE0000087,CO000002,B2,23,MIDDLE,4,MIDDLE,False,False
SE0000088,CO000002,B2,24,UPPER,4,AISLE,False,True
SE0000089,CO000002,B2,25,LOWER,5,WINDOW,True,False
SE0000090,CO000002,B2,26,MIDDLE,5,MIDDLE,False,False
SE0000091,CO000002,B2,27,UPPER,5,AISLE,False,True
SE0000092,CO000002,B2,28,LOWER,5,WINDOW,True,False
SE0000093,CO000002,B2,29,MIDDLE,5,MIDDLE,False,False
SE0000094,CO000002,B2,30,UPPER,5,AISLE,False,True
SE0000095,CO000002,B2,31,LOWER,6,WINDOW,True,False
SE0000096,CO000002,B2,32,MIDDLE,6,MIDDLE,False,False
SE0000097,CO000002,B2,33,UPPER,6,AISLE,False,True
SE0000098,CO000002,B2,34,LOWER,6,WINDOW,True,False
SE0000099,CO000002,B2,35,MIDDLE,6,MIDDLE,False,False
SE0000100,CO000002,B2,36,UPPER,6,AISLE,False,True
SE0000101,CO000002,B2,37,LOWER,7,WINDOW,True,False
SE0000102,CO000002,B2,38,MIDDLE,7,MIDDLE,False,False
SE0000103,CO000002,B2,39,UPPER,7,AISLE,False,True
SE0000104,CO000002,B2,40,LOWER,7,WINDOW,True,False
SE0000105,CO000002,B2,41,MIDDLE,7,MIDDLE,False,False
SE0000106,CO000002,B2,42,UPPER,7,AISLE,False,True
SE0000107,CO000002,B2,43,LOWER,8,WINDOW,True,False
SE0000108,CO000002,B2,44,MIDDLE,8,MIDDLE,False,False
SE0000109,CO000002,B2,45,UPPER,8,AISLE,False,True
SE0000110,CO000002,B2,46,LOWER,8,WINDOW,True,False
SE0000111,CO000002,B2,47,MIDDLE,8,MIDDLE,False,False
SE0000112,CO000002,B2,48,UPPER,8,AISLE,False,True
SE0000113,CO000002,B2,49,SIDE_LOWER,9,SIDE,False,False
SE0000114,CO000002,B2,50,SIDE_UPPER,9,SIDE,False,False
SE0000115,CO000002,B2,51,SIDE_LOWER,10,SIDE,False,False
SE0000116,CO000002,B2,52,SIDE_UPPER,10,SIDE,False,False
SE0000117,CO000002,B2,53,SIDE_LOWER,11,SIDE,False,False
SE0000118,CO000002,B2,54,SIDE_UPPER,11,SIDE,False,False
SE0000119,CO000002,B2,55,SIDE_LOWER,12,SIDE,False,False
SE0000120,CO000002,B2,56,SIDE_UPPER,12,SIDE,False,False
SE0000121,CO000002,B2,57,SIDE_LOWER,13,SIDE,False,False
SE0000122,CO000002,B2,58,SIDE_UPPER,13,SIDE,False,False
SE0000123,CO000002,B2,59,SIDE_LOWER,14,SIDE,False,False
SE0000124,CO000002,B2,60,SIDE_UPPER,14,SIDE,False,False
SE0000125,CO000002,B2,61,SIDE_LOWER,15,SIDE,False,False
SE0000126,CO000002,B2,62,SIDE_UPPER,15,SIDE,False,False
SE0000127,CO000002,B2,63,SIDE_LOWER,16,SIDE,False,False
SE0000128,CO000002,B2,64,SIDE_UPPER,16,SIDE,False,False
SE0000129,CO000003,B3,1,LOWER,1,WINDOW,True,False
SE0000130,CO000003,B3,2,MIDDLE,1,MIDDLE,False,False
SE0000131,CO000003,B3,3,UPPER,1,AISLE,False,True
SE0000132,CO000003,B3,4,LOWER,1,WINDOW,True,False
SE0000133,CO000003,B3,5,MIDDLE,1,MIDDLE,False,False
SE0000134,CO000003,B3,6,UPPER,1,AISLE,False,True
SE0000135,CO000003,B3,7,LOWER,2,WINDOW,True,False
SE0000136,CO000003,B3,8,MIDDLE,2,MIDDLE,False,False
SE0000137,CO000003,B3,9,UPPER,2,AISLE,False,True
SE0000138,CO000003,B3,10,LOWER,2,WINDOW,True,False
SE0000139,CO000003,B3,11,MIDDLE,2,MIDDLE,False,False
SE0000140,CO000003,B3,12,UPPER,2,AISLE,False,True
SE0000141,CO000003,B3,13,LOWER,3,WINDOW,True,False
SE0000142,CO000003,B3,14,MIDDLE,3,MIDDLE,False,False
SE0000143,CO000003,B3,15,UPPER,3,AISLE,False,True
SE0000144,CO000003,B3,16,LOWER,3,WINDOW,True,False
SE0000145,CO000003,B3,17,MIDDLE,3,MIDDLE,False,False
SE0000146,CO000003,B3,18,UPPER,3,AISLE,False,True
SE0000147,CO000003,B3,19,LOWER,4,WINDOW,True,False
SE0000148,CO000003,B3,20,MIDDLE,4,MIDDLE,False,False
SE0000149,CO000003,B3,21,UPPER,4,AISLE,False,True
SE0000150,CO000003,B3,22,LOWER,4,WINDOW,True,False
SE0000151,CO000003,B3,23,MIDDLE,4,MIDDLE,False,False
SE0000152,CO000003,B3,24,UPPER,4,AISLE,False,True
SE0000153,CO000003,B3,25,LOWER,5,WINDOW,True,False
SE0000154,CO000003,B3,26,MIDDLE,5,MIDDLE,False,False
SE0000155,CO000003,B3,27,UPPER,5,AISLE,False,True
SE0000156,CO000003,B3,28,LOWER,5,WINDOW,True,False
SE0000157,CO000003,B3,29,MIDDLE,5,MIDDLE,False,False
SE0000158,CO000003,B3,30,UPPER,5,AISLE,False,True
SE0000159,CO000003,B3,31,LOWER,6,WINDOW,True,False
SE0000160,CO000003,B3,32,MIDDLE,6,MIDDLE,False,False
SE0000161,CO000003,B3,33,UPPER,6,AISLE,False,True
SE0000162,CO000003,B3,34,LOWER,6,WINDOW,True,False
SE0000163,CO000003,B3,35,MIDDLE,6,MIDDLE,False,False
SE0000164,CO000003,B3,36,UPPER,6,AISLE,False,True
SE0000165,CO000003,B3,37,LOWER,7,WINDOW,True,False
SE0000166,CO000003,B3,38,MIDDLE,7,MIDDLE,False,False
SE0000167,CO000003,B3,39,UPPER,7,AISLE,False,True
SE0000168,CO000003,B3,40,LOWER,7,WINDOW,True,False
SE0000169,CO000003,B3,41,MIDDLE,7,MIDDLE,False,False
SE0000170,CO000003,B3,42,UPPER,7,AISLE,False,True
SE0000171,CO000003,B3,43,LOWER,8,WINDOW,True,False
SE0000172,CO000003,B3,44,MIDDLE,8,MIDDLE,False,False
SE0000173,CO000003,B3,45,UPPER,8,AISLE,False,True
SE0000174,CO000003,B3,46,LOWER,8,WINDOW,True,False
SE0000175,CO000003,B3,47,MIDDLE,8,MIDDLE,False,False
SE0000176,CO000003,B3,48,UPPER,8,AISLE,False,True
SE0000177,CO000003,B3,49,SIDE_LOWER,9,SIDE,False,False
SE0000178,CO000003,B3,50,SIDE_UPPER,9,SIDE,False,False
SE0000179,CO000003,B3,51,SIDE_LOWER,10,SIDE,False,False
SE0000180,CO000003,B3,52,SIDE_UPPER,10,SIDE,False,False
SE0000181,CO000003,B3,53,SIDE_LOWER,11,SIDE,False,False
SE0000182,CO000003,B3,54,SIDE_UPPER,11,SIDE,False,False
SE0000183,CO000003,B3,55,SIDE_LOWER,12,SIDE,False,False
SE0000184,CO000003,B3,56,SIDE_UPPER,12,SIDE,False,False
SE0000185,CO000003,B3,57,SIDE_LOWER,13,SIDE,False,False
SE0000186,CO000003,B3,58,SIDE_UPPER,13,SIDE,False,False
SE0000187,CO000003,B3,59,SIDE_LOWER,14,SIDE,False,False
SE0000188,CO000003,B3,60,SIDE_UPPER,14,SIDE,False,False
SE0000189,CO000003,B3,61,SIDE_LOWER,15,SIDE,False,False
SE0000190,CO000003,B3,62,SIDE_UPPER,15,SIDE,False,False
SE0000191,CO000003,B3,63,SIDE_LOWER,16,SIDE,False,False
SE0000192,CO000003,B3,64,SIDE_UPPER,16,SIDE,False,False
SE0000193,CO000004,B4,1,LOWER,1,WINDOW,True,False
SE0000194,CO000004,B4,2,MIDDLE,1,MIDDLE,False,False
SE0000195,CO000004,B4,3,UPPER,1,AISLE,False,True
SE0000196,CO000004,B4,4,LOWER,1,WINDOW,True,False
SE0000197,CO000004,B4,5,MIDDLE,1,MIDDLE,False,False
SE0000198,CO000004,B4,6,UPPER,1,AISLE,False,True
SE0000199,CO000004,B4,7,LOWER,2,WINDOW,True,False
SE0000200,CO000004,B4,8,MIDDLE,2,MIDDLE,False,False
SE0000201,CO000004,B4,9,UPPER,2,AISLE,False,True
SE0000202,CO000004,B4,10,LOWER,2,WINDOW,True,False
SE0000203,CO000004,B4,11,MIDDLE,2,MIDDLE,False,False
SE0000204,CO000004,B4,12,UPPER,2,AISLE,False,True
SE0000205,CO000004,B4,13,LOWER,3,WINDOW,True,False
SE0000206,CO000004,B4,14,MIDDLE,3,MIDDLE,False,False
SE0000207,CO000004,B4,15,UPPER,3,AISLE,False,True
SE0000208,CO000004,B4,16,LOWER,3,WINDOW,True,False
SE0000209,CO000004,B4,17,MIDDLE,3,MIDDLE,False,False
SE0000210,CO000004,B4,18,UPPER,3,AISLE,False,True
SE0000211,CO000004,B4,19,LOWER,4,WINDOW,True,False
SE0000212,CO000004,B4,20,MIDDLE,4,MIDDLE,False,False
SE0000213,CO000004,B4,21,UPPER,4,AISLE,False,True
SE0000214,CO000004,B4,22,LOWER,4,WINDOW,True,False
SE0000215,CO000004,B4,23,MIDDLE,4,MIDDLE,False,False
SE0000216,CO000004,B4,24,UPPER,4,AISLE,False,True
SE0000217,CO000004,B4,25,LOWER,5,WINDOW,True,False
SE0000218,CO000004,B4,26,MIDDLE,5,MIDDLE,False,False
SE0000219,CO000004,B4,27,UPPER,5,AISLE,False,True
SE0000220,CO000004,B4,28,LOWER,5,WINDOW,True,False
SE0000221,CO000004,B4,29,MIDDLE,5,MIDDLE,False,False
SE0000222,CO000004,B4,30,UPPER,5,AISLE,False,True
SE0000223,CO000004,B4,31,LOWER,6,WINDOW,True,False
SE0000224,CO000004,B4,32,MIDDLE,6,MIDDLE,False,False
SE0000225,CO000004,B4,33,UPPER,6,AISLE,False,True
SE0000226,CO000004,B4,34,LOWER,6,WINDOW,True,False
SE0000227,CO000004,B4,35,MIDDLE,6,MIDDLE,False,False
SE0000228,CO000004,B4,36,UPPER,6,AISLE,False,True
SE0000229,CO000004,B4,37,LOWER,7,WINDOW,True,False
SE0000230,CO000004,B4,38,MIDDLE,7,MIDDLE,False,False
SE0000231,CO000004,B4,39,UPPER,7,AISLE,False,True
SE0000232,CO000004,B4,40,LOWER,7,WINDOW,True,False
SE0000233,CO000004,B4,41,MIDDLE,7,MIDDLE,False,False
SE0000234,CO000004,B4,42,UPPER,7,AISLE,False,True
SE0000235,CO000004,B4,43,LOWER,8,WINDOW,True,False
SE0000236,CO000004,B4,44,MIDDLE,8,MIDDLE,False,False
SE0000237,CO000004,B4,45,UPPER,8,AISLE,False,True
SE0000238,CO000004,B4,46,LOWER,8,WINDOW,True,False
SE0000239,CO000004,B4,47,MIDDLE,8,MIDDLE,False,False
SE0000240,CO000004,B4,48,UPPER,8,AISLE,False,True
SE0000241,CO000004,B4,49,SIDE_LOWER,9,SIDE,False,False
SE0000242,CO000004,B4,50,SIDE_UPPER,9,SIDE,False,False
SE0000243,CO000004,B4,51,SIDE_LOWER,10,SIDE,False,False
SE0000244,CO000004,B4,52,SIDE_UPPER,10,SIDE,False,False
SE0000245,CO000004,B4,53,SIDE_LOWER,11,SIDE,False,False
SE0000246,CO000004,B4,54,SIDE_UPPER,11,SIDE,False,False
SE0000247,CO000004,B4,55,SIDE_LOWER,12,SIDE,False,False
SE0000248,CO000004,B4,56,SIDE_UPPER,12,SIDE,False,False
SE0000249,CO000004,B4,57,SIDE_LOWER,13,SIDE,False,False
SE0000250,CO000004,B4,58,SIDE_UPPER,13,SIDE,False,False
SE0000251,CO000004,B4,59,SIDE_LOWER,14,SIDE,False,False
SE0000252,CO000004,B4,60,SIDE_UPPER,14,SIDE,False,False
SE0000253,CO000004,B4,61,SIDE_LOWER,15,SIDE,False,False
SE0000254,CO000004,B4,62,SIDE_UPPER,15,SIDE,False,False
SE0000255,CO000004,B4,63,SIDE_LOWER,16,SIDE,False,False
SE0000256,CO000004,B4,64,SIDE_UPPER,16,SIDE,False,False
SE0000257,CO000005,A1,1,LOWER,1,WINDOW,True,False
SE0000258,CO000005,A1,2,UPPER,1,AISLE,False,True
SE0000259,CO000005,A1,3,LOWER,1,WINDOW,True,False
SE0000260,CO000005,A1,4,UPPER,1,AISLE,False,True
SE0000261,CO000005,A1,5,LOWER,2,WINDOW,True,False
SE0000262,CO000005,A1,6,UPPER,2,AISLE,False,True
SE0000263,CO000005,A1,7,LOWER,2,WINDOW,True,False
SE0000264,CO000005,A1,8,UPPER,2,AISLE,False,True
SE0000265,CO000005,A1,9,LOWER,3,WINDOW,True,False
SE0000266,CO000005,A1,10,UPPER,3,AISLE,False,True
SE0000267,CO000005,A1,11,LOWER,3,WINDOW,True,False
SE0000268,CO000005,A1,12,UPPER,3,AISLE,False,True
SE0000269,CO000005,A1,13,LOWER,4,WINDOW,True,False
SE0000270,CO000005,A1,14,UPPER,4,AISLE,False,True
SE0000271,CO000005,A1,15,LOWER,4,WINDOW,True,False
SE0000272,CO000005,A1,16,UPPER,4,AISLE,False,True
SE0000273,CO000005,A1,17,LOWER,5,WINDOW,True,False
SE0000274,CO000005,A1,18,UPPER,5,AISLE,False,True
SE0000275,CO000005,A1,19,LOWER,5,WINDOW,True,False
SE0000276,CO000005,A1,20,UPPER,5,AISLE,False,True
SE0000277,CO000005,A1,21,LOWER,6,WINDOW,True,False
SE0000278,CO000005,A1,22,UPPER,6,AISLE,False,True
SE0000279,CO000005,A1,23,LOWER,6,WINDOW,True,False
SE0000280,CO000005,A1,24,UPPER,6,AISLE,False,True
SE0000281,CO000005,A1,25,LOWER,7,WINDOW,True,False
SE0000282,CO000005,A1,26,UPPER,7,AISLE,False,True
SE0000283,CO000005,A1,27,LOWER,7,WINDOW,True,False
SE0000284,CO000005,A1,28,UPPER,7,AISLE,False,True
SE0000285,CO000005,A1,29,LOWER,8,WINDOW,True,False
SE0000286,CO000005,A1,30,UPPER,8,AISLE,False,True
SE0000287,CO000005,A1,31,LOWER,8,WINDOW,True,False
SE0000288,CO000005,A1,32,UPPER,8,AISLE,False,True
SE0000289,CO000005,A1,33,SIDE_LOWER,9,SIDE,False,False
SE0000290,CO000005,A1,34,SIDE_UPPER,9,SIDE,False,False
SE0000291,CO000005,A1,35,SIDE_LOWER,10,SIDE,False,False
SE0000292,CO000005,A1,36,SIDE_UPPER,10,SIDE,False,False
SE0000293,CO000005,A1,37,SIDE_LOWER,11,SIDE,False,False
SE0000294,CO000005,A1,38,SIDE_UPPER,11,SIDE,False,False
SE0000295,CO000005,A1,39,SIDE_LOWER,12,SIDE,False,False
SE0000296,CO000005,A1,40,SIDE_UPPER,12,SIDE,False,False
SE0000297,CO000005,A1,41,SIDE_LOWER,13,SIDE,False,False
SE0000298,CO000005,A1,42,SIDE_UPPER,13,SIDE,False,False
SE0000299,CO000005,A1,43,SIDE_LOWER,14,SIDE,False,False
SE0000300,CO000005,A1,44,SIDE_UPPER,14,SIDE,False,False
SE0000301,CO000005,A1,45,SIDE_LOWER,15,SIDE,False,False
SE0000302,CO000005,A1,46,SIDE_UPPER,15,SIDE,False,False
SE0000303,CO000005,A1,47,SIDE_LOWER,16,SIDE,False,False
SE0000304,CO000005,A1,48,SIDE_UPPER,16,SIDE,False,False
SE0000305,CO000006,A2,1,LOWER,1,WINDOW,True,False
SE0000306,CO000006,A2,2,UPPER,1,AISLE,False,True
SE0000307,CO000006,A2,3,LOWER,1,WINDOW,True,False
SE0000308,CO000006,A2,4,UPPER,1,AISLE,False,True
SE0000309,CO000006,A2,5,LOWER,2,WINDOW,True,False
SE0000310,CO000006,A2,6,UPPER,2,AISLE,False,True
SE0000311,CO000006,A2,7,LOWER,2,WINDOW,True,False
SE0000312,CO000006,A2,8,UPPER,2,AISLE,False,True
SE0000313,CO000006,A2,9,LOWER,3,WINDOW,True,False
SE0000314,CO000006,A2,10,UPPER,3,AISLE,False,True
SE0000315,CO000006,A2,11,LOWER,3,WINDOW,True,False
SE0000316,CO000006,A2,12,UPPER,3,AISLE,False,True
SE0000317,CO000006,A2,13,LOWER,4,WINDOW,True,False
SE0000318,CO000006,A2,14,UPPER,4,AISLE,False,True
SE0000319,CO000006,A2,15,LOWER,4,WINDOW,True,False
SE0000320,CO000006,A2,16,UPPER,4,AISLE,False,True
SE0000321,CO000006,A2,17,LOWER,5,WINDOW,True,False
SE0000322,CO000006,A2,18,UPPER,5,AISLE,False,True
SE0000323,CO000006,A2,19,LOWER,5,WINDOW,True,False
SE0000324,CO000006,A2,20,UPPER,5,AISLE,False,True
SE0000325,CO000006,A2,21,LOWER,6,WINDOW,True,False
SE0000326,CO000006,A2,22,UPPER,6,AISLE,False,True
SE0000327,CO000006,A2,23,LOWER,6,WINDOW,True,False
SE0000328,CO000006,A2,24,UPPER,6,AISLE,False,True
SE0000329,CO000006,A2,25,LOWER,7,WINDOW,True,False
SE0000330,CO000006,A2,26,UPPER,7,AISLE,False,True
SE0000331,CO000006,A2,27,LOWER,7,WINDOW,True,False
SE0000332,CO000006,A2,28,UPPER,7,AISLE,False,True
SE0000333,CO000006,A2,29,LOWER,8,WINDOW,True,False
SE0000334,CO000006,A2,30,UPPER,8,AISLE,False,True
SE0000335,CO000006,A2,31,LOWER,8,WINDOW,True,False
SE0000336,CO000006,A2,32,UPPER,8,AISLE,False,True
SE0000337,CO000006,A2,33,SIDE_LOWER,9,SIDE,False,False
SE0000338,CO000006,A2,34,SIDE_UPPER,9,SIDE,False,False
SE0000339,CO000006,A2,35,SIDE_LOWER,10,SIDE,False,False
SE0000340,CO000006,A2,36,SIDE_UPPER,10,SIDE,False,False
SE0000341,CO000006,A2,37,SIDE_LOWER,11,SIDE,False,False
SE0000342,CO000006,A2,38,SIDE_UPPER,11,SIDE,False,False
SE0000343,CO000006,A2,39,SIDE_LOWER,12,SIDE,False,False
SE0000344,CO000006,A2,40,SIDE_UPPER,12,SIDE,False,False
SE0000345,CO000006,A2,41,SIDE_LOWER,13,SIDE,False,False
SE0000346,CO000006,A2,42,SIDE_UPPER,13,SIDE,False,False
SE0000347,CO000006,A2,43,SIDE_LOWER,14,SIDE,False,False
SE0000348,CO000006,A2,44,SIDE_UPPER,14,SIDE,False,False
SE0000349,CO000006,A2,45,SIDE_LOWER,15,SIDE,False,False
SE0000350,CO000006,A2,46,SIDE_UPPER,15,SIDE,False,False
SE0000351,CO000006,A2,47,SIDE_LOWER,16,SIDE,False,False
SE0000352,CO000006,A2,48,SIDE_UPPER,16,SIDE,False,False
SE0000353,CO000007,S1,1,LOWER,1,WINDOW,True,False
SE0000354,CO000007,S1,2,MIDDLE,1,MIDDLE,False,False
SE0000355,CO000007,S1,3,UPPER,1,AISLE,False,True
SE0000356,CO000007,S1,4,LOWER,1,WINDOW,True,False
SE0000357,CO000007,S1,5,MIDDLE,1,MIDDLE,False,False
SE0000358,CO000007,S1,6,UPPER,1,AISLE,False,True
SE0000359,CO000007,S1,7,LOWER,2,WINDOW,True,False
SE0000360,CO000007,S1,8,MIDDLE,2,MIDDLE,False,False
SE0000361,CO000007,S1,9,UPPER,2,AISLE,False,True
SE0000362,CO000007,S1,10,LOWER,2,WINDOW,True,False
SE0000363,CO000007,S1,11,MIDDLE,2,MIDDLE,False,False
SE0000364,CO000007,S1,12,UPPER,2,AISLE,False,True
SE0000365,CO000007,S1,13,LOWER,3,WINDOW,True,False
SE0000366,CO000007,S1,14,MIDDLE,3,MIDDLE,False,False
SE0000367,CO000007,S1,15,UPPER,3,AISLE,False,True
SE0000368,CO000007,S1,16,LOWER,3,WINDOW,True,False
SE0000369,CO000007,S1,17,MIDDLE,3,MIDDLE,False,False
SE0000370,CO000007,S1,18,UPPER,3,AISLE,False,True
SE0000371,CO000007,S1,19,LOWER,4,WINDOW,True,False
SE0000372,CO000007,S1,20,MIDDLE,4,MIDDLE,False,False
SE0000373,CO000007,S1,21,UPPER,4,AISLE,False,True
SE0000374,CO000007,S1,22,LOWER,4,WINDOW,True,False
SE0000375,CO000007,S1,23,MIDDLE,4,MIDDLE,False,False
SE0000376,CO000007,S1,24,UPPER,4,AISLE,False,True
SE0000377,CO000007,S1,25,LOWER,5,WINDOW,True,False
SE0000378,CO000007,S1,26,MIDDLE,5,MIDDLE,False,False
SE0000379,CO000007,S1,27,UPPER,5,AISLE,False,True
SE0000380,CO000007,S1,28,LOWER,5,WINDOW,True,False
SE0000381,CO000007,S1,29,MIDDLE,5,MIDDLE,False,False
SE0000382,CO000007,S1,30,UPPER,5,AISLE,False,True
SE0000383,CO000007,S1,31,LOWER,6,WINDOW,True,False
SE0000384,CO000007,S1,32,MIDDLE,6,MIDDLE,False,False
SE0000385,CO000007,S1,33,UPPER,6,AISLE,False,True
SE0000386,CO000007,S1,34,LOWER,6,WINDOW,True,False
SE0000387,CO000007,S1,35,MIDDLE,6,MIDDLE,False,False
SE0000388,CO000007,S1,36,UPPER,6,AISLE,False,True
SE0000389,CO000007,S1,37,LOWER,7,WINDOW,True,False
SE0000390,CO000007,S1,38,MIDDLE,7,MIDDLE,False,False
SE0000391,CO000007,S1,39,UPPER,7,AISLE,False,True
SE0000392,CO000007,S1,40,LOWER,7,WINDOW,True,False
SE0000393,CO000007,S1,41,MIDDLE,7,MIDDLE,False,False
SE0000394,CO000007,S1,42,UPPER,7,AISLE,False,True
SE0000395,CO000007,S1,43,LOWER,8,WINDOW,True,False
SE0000396,CO000007,S1,44,MIDDLE,8,MIDDLE,False,False
SE0000397,CO000007,S1,45,UPPER,8,AISLE,False,True
SE0000398,CO000007,S1,46,LOWER,8,WINDOW,True,False
SE0000399,CO000007,S1,47,MIDDLE,8,MIDDLE,False,False
SE0000400,CO000007,S1,48,UPPER,8,AISLE,False,True
SE0000401,CO000007,S1,49,SIDE_LOWER,9,SIDE,False,False
SE0000402,CO000007,S1,50,SIDE_UPPER,9,SIDE,False,False
SE0000403,CO000007,S1,51,SIDE_LOWER,10,SIDE,False,False
SE0000404,CO000007,S1,52,SIDE_UPPER,10,SIDE,False,False
SE0000405,CO000007,S1,53,SIDE_LOWER,11,SIDE,False,False
